F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,class
4,1,4,1,4,1,4,0,4,1,4,1,3,0,3,0,4,0,3,0,3,0,2,0,3,0,3,0,2,0,3,0,2,0,g
4,2,4,2,4,1,2,0,4,2,3,0,3,0,1,0,2,0,3,0,2,1,2,1,1,1,1,2,2,2,2,2,2,2,b
4,1,4,1,4,1,4,1,4,1,4,1,4,1,3,1,4,0,4,1,3,0,2,1,3,0,3,0,2,0,3,0,3,0,g
4,2,4,1,4,4,4,0,2,2,2,2,2,2,0,2,3,1,0,1,0,4,2,2,4,4,3,4,4,1,3,4,1,4,b
4,1,4,1,4,2,4,1,4,1,3,1,3,1,3,1,3,1,3,1,2,0,2,0,2,0,2,0,2,0,1,0,1,0,g
4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,b
4,2,4,1,4,1,4,1,4,1,4,0,4,0,4,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0,2,0,1,0,g
2,2,2,2,2,2,4,0,2,2,0,0,2,2,2,2,4,4,0,0,2,2,2,2,4,4,4,4,2,2,4,4,2,2,b
4,2,4,1,4,1,4,1,4,1,4,0,4,0,4,0,4,1,4,0,4,0,4,0,4,0,3,0,2,0,3,0,3,0,g
4,1,1,1,1,1,1,1,1,0,0,0,1,1,0,2,0,2,3,2,1,1,1,1,1,1,2,1,1,1,2,2,1,2,b
4,2,4,2,4,1,4,1,4,1,4,1,4,0,4,0,4,0,4,0,4,0,4,0,3,0,3,0,3,0,3,0,2,0,g
4,2,4,1,4,0,4,0,4,3,4,1,4,4,4,0,4,1,4,0,4,4,4,4,4,1,4,0,4,0,4,0,4,0,b
4,2,4,1,4,1,4,1,4,1,4,0,4,1,4,1,4,1,4,0,4,0,4,0,4,0,4,0,3,0,4,0,3,0,g
4,2,4,0,4,3,4,1,4,2,4,3,4,2,4,2,4,0,4,0,4,2,4,4,4,2,4,3,4,0,4,4,4,2,b
4,0,4,0,4,0,4,0,4,0,4,1,4,1,4,0,4,0,4,1,4,2,4,2,4,1,4,2,4,2,4,1,4,2,g
4,2,3,0,4,3,2,0,4,0,3,0,2,2,0,1,1,2,4,0,2,2,2,2,2,4,3,3,2,2,4,3,2,2,b
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,3,0,3,0,3,0,3,0,g
2,2,2,2,0,0,4,4,0,4,0,4,4,0,4,4,0,0,0,4,4,0,0,4,0,4,4,0,0,4,0,0,4,0,b
4,0,3,0,3,0,2,0,0,1,3,0,3,0,3,0,2,0,0,2,2,1,2,1,2,1,2,1,2,1,2,1,4,1,g
2,2,4,0,2,2,2,2,4,4,4,0,0,4,2,2,0,4,4,4,0,4,4,3,0,4,4,4,4,0,4,4,4,4,b
4,1,4,1,4,1,4,1,4,1,4,1,4,0,4,1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,g
2,2,4,4,2,2,2,2,0,0,2,2,2,2,0,0,0,0,0,4,0,4,2,2,2,2,4,0,0,4,0,4,0,4,b
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,3,0,3,0,3,0,3,0,2,0,3,0,2,0,2,0,2,0,g
2,2,0,4,2,2,2,2,0,4,4,4,2,2,2,2,4,0,0,4,4,4,2,2,0,0,4,0,4,4,0,4,2,2,b
4,1,4,1,4,1,4,1,4,1,4,0,4,1,4,1,3,1,3,0,4,0,4,0,4,0,4,0,4,0,3,0,3,0,g
4,2,4,3,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,b
4,2,4,2,4,2,4,0,4,4,4,1,4,1,4,1,4,0,2,0,4,2,4,0,3,0,3,0,3,0,3,0,2,0,g
2,2,0,0,2,2,0,4,4,1,2,2,2,2,2,2,4,0,0,0,4,0,2,2,4,0,0,4,0,0,2,2,0,4,b
4,0,4,0,4,1,4,0,4,3,4,2,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,2,4,g
2,2,0,0,4,4,4,0,0,4,4,0,0,0,2,2,4,4,0,0,4,0,4,0,4,4,4,0,4,0,0,4,4,0,b
4,2,4,1,4,1,4,1,4,2,4,1,4,1,4,1,4,1,4,1,4,1,4,0,4,0,4,0,4,0,4,0,4,0,g
4,2,4,0,4,4,4,0,4,0,4,0,4,2,4,0,4,4,4,0,4,4,4,0,2,2,4,4,4,0,4,4,4,4,b
4,1,4,1,4,1,4,1,4,1,4,0,4,0,4,0,4,0,4,0,4,0,3,0,3,0,3,0,3,0,3,0,3,0,g
4,2,4,2,3,1,4,2,4,2,4,2,3,4,4,0,4,2,4,1,1,4,3,2,4,1,4,1,4,1,4,0,1,0,b
4,2,4,1,4,3,4,0,4,1,4,1,4,2,4,2,4,3,4,3,4,2,4,0,4,2,4,2,4,2,4,3,4,0,g
4,2,4,0,4,4,4,0,4,1,4,0,4,0,4,4,2,4,4,4,4,4,4,0,4,4,4,2,4,1,4,4,4,3,b
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,g
2,2,4,4,4,0,2,2,2,2,0,0,2,2,2,2,0,4,4,4,0,4,0,4,4,0,4,4,0,4,4,4,2,2,b
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,3,0,3,0,3,0,3,0,3,0,3,0,g
4,2,4,2,4,2,4,2,4,0,4,2,4,3,4,2,4,2,4,3,4,2,4,2,3,2,3,2,3,2,3,2,4,4,b
4,0,4,0,4,1,4,1,4,1,4,1,3,2,3,2,3,3,2,3,2,3,2,3,1,3,1,3,0,3,0,3,0,3,g
4,2,0,0,4,4,4,2,2,2,0,4,4,4,2,0,0,0,2,0,4,0,0,4,0,0,4,0,0,0,4,4,2,2,b
4,0,4,0,4,0,4,0,2,3,3,1,0,2,2,2,2,2,1,0,1,2,1,2,1,2,0,2,0,2,0,2,0,3,g
