F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,class
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,mammal
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal
0,0,4,0,0,4,4,4,4,0,0,4,0,4,0,0,fish
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,mammal
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mammal
0,0,4,0,0,4,0,4,4,0,0,4,0,4,4,0,fish
0,0,4,0,0,4,4,4,4,0,0,4,0,4,0,0,fish
1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,mammal
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
0,2,2,0,2,0,0,0,2,2,0,0,4,2,2,0,bird
0,0,4,0,0,4,4,4,4,0,0,4,0,4,0,0,fish
0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,invertebrate
0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,invertebrate
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,invertebrate
0,2,2,0,2,0,2,0,2,2,0,0,4,2,0,0,bird
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal
0,0,4,0,0,4,4,4,4,0,0,4,0,4,0,4,fish
0,0,0,4,0,4,4,4,4,4,0,4,0,4,0,4,mammal
0,2,2,0,2,0,0,0,2,2,0,0,4,2,2,0,bird
0,2,2,0,2,2,0,0,2,2,0,0,4,2,0,0,bird
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal
0,2,2,0,2,0,0,0,2,2,0,0,4,2,0,2,bird
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,insect
0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,amphibian
0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,amphibian
2,0,0,2,2,0,0,2,2,2,0,0,4,2,0,0,mammal
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal
2,0,0,2,0,0,2,2,2,2,0,0,4,0,2,2,mammal
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,insect
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mammal
2,0,0,2,0,0,0,2,2,2,0,0,4,0,0,2,mammal
0,2,2,0,2,2,2,0,2,2,0,0,4,2,0,0,bird
0,0,4,0,0,4,0,4,4,0,0,4,0,4,0,0,fish
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,mammal
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,mammal
0,2,2,0,2,0,2,0,2,2,0,0,4,2,0,0,bird
0,0,4,0,0,4,4,4,4,0,0,4,0,4,0,0,fish
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,insect
