experiment_name,run_id,algorithm,domain,instance,seed,status,stop_reason,initial_objective,best_objective,final_objective,runtime_seconds,objective_evaluations,iterations,parameters,error_message
tsp_eil51_simulated_annealing,simulated_annealing_run_001,simulated_annealing,tsp,eil51,1000,completed,evaluation_budget_exhausted,558.0,558.0,558.0,23.981338299999948,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_eil51_simulated_annealing,simulated_annealing_run_002,simulated_annealing,tsp,eil51,1001,completed,evaluation_budget_exhausted,503.0,503.0,503.0,24.773571900000093,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_eil51_simulated_annealing,simulated_annealing_run_003,simulated_annealing,tsp,eil51,1002,completed,evaluation_budget_exhausted,496.0,496.0,496.0,24.770187400000054,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_eil51_simulated_annealing,simulated_annealing_run_004,simulated_annealing,tsp,eil51,1003,completed,evaluation_budget_exhausted,544.0,544.0,544.0,32.03977100000009,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_eil51_simulated_annealing,simulated_annealing_run_005,simulated_annealing,tsp,eil51,1004,completed,evaluation_budget_exhausted,530.0,530.0,530.0,34.53569019999986,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_eil51_simulated_annealing,simulated_annealing_run_006,simulated_annealing,tsp,eil51,1005,completed,evaluation_budget_exhausted,518.0,518.0,518.0,32.70716719999996,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_eil51_simulated_annealing,simulated_annealing_run_007,simulated_annealing,tsp,eil51,1006,completed,evaluation_budget_exhausted,509.0,509.0,509.0,32.380794700000024,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_eil51_simulated_annealing,simulated_annealing_run_008,simulated_annealing,tsp,eil51,1007,completed,evaluation_budget_exhausted,552.0,552.0,552.0,26.61939140000004,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_eil51_simulated_annealing,simulated_annealing_run_009,simulated_annealing,tsp,eil51,1008,completed,evaluation_budget_exhausted,495.0,495.0,495.0,23.704562599999917,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_eil51_simulated_annealing,simulated_annealing_run_010,simulated_annealing,tsp,eil51,1009,completed,evaluation_budget_exhausted,530.0,530.0,530.0,24.650335099999893,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
