experiment_name,run_id,algorithm,domain,instance,seed,status,stop_reason,initial_objective,best_objective,final_objective,runtime_seconds,objective_evaluations,iterations,parameters,error_message
tsp_berlin52_simulated_annealing,simulated_annealing_run_001,simulated_annealing,tsp,berlin52,1000,completed,evaluation_budget_exhausted,10072.0,10072.0,10072.0,31.96207849999996,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_berlin52_simulated_annealing,simulated_annealing_run_002,simulated_annealing,tsp,berlin52,1001,completed,evaluation_budget_exhausted,9583.0,9377.0,9377.0,33.66338330000008,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_berlin52_simulated_annealing,simulated_annealing_run_003,simulated_annealing,tsp,berlin52,1002,completed,evaluation_budget_exhausted,9091.0,9091.0,9091.0,32.054513699999916,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_berlin52_simulated_annealing,simulated_annealing_run_004,simulated_annealing,tsp,berlin52,1003,completed,evaluation_budget_exhausted,9498.0,9498.0,9498.0,33.639424899999995,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_berlin52_simulated_annealing,simulated_annealing_run_005,simulated_annealing,tsp,berlin52,1004,completed,evaluation_budget_exhausted,8206.0,8180.0,8180.0,31.754321899999923,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_berlin52_simulated_annealing,simulated_annealing_run_006,simulated_annealing,tsp,berlin52,1005,completed,evaluation_budget_exhausted,8848.0,8848.0,8848.0,34.22494669999992,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_berlin52_simulated_annealing,simulated_annealing_run_007,simulated_annealing,tsp,berlin52,1006,completed,evaluation_budget_exhausted,9395.0,9395.0,9395.0,32.625905299999886,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_berlin52_simulated_annealing,simulated_annealing_run_008,simulated_annealing,tsp,berlin52,1007,completed,evaluation_budget_exhausted,9708.0,9708.0,9708.0,32.74936380000008,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_berlin52_simulated_annealing,simulated_annealing_run_009,simulated_annealing,tsp,berlin52,1008,completed,evaluation_budget_exhausted,9220.0,9220.0,9220.0,32.640933499999846,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_berlin52_simulated_annealing,simulated_annealing_run_010,simulated_annealing,tsp,berlin52,1009,completed,evaluation_budget_exhausted,8206.0,8206.0,8206.0,33.06109239999978,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_berlin52_simulated_annealing,simulated_annealing_run_011,simulated_annealing,tsp,berlin52,1010,completed,evaluation_budget_exhausted,9013.0,9013.0,9013.0,34.68095429999994,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_berlin52_simulated_annealing,simulated_annealing_run_012,simulated_annealing,tsp,berlin52,1011,completed,evaluation_budget_exhausted,9323.0,9323.0,9323.0,31.00846479999973,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_berlin52_simulated_annealing,simulated_annealing_run_013,simulated_annealing,tsp,berlin52,1012,completed,evaluation_budget_exhausted,9214.0,9214.0,9214.0,31.258568000000196,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_berlin52_simulated_annealing,simulated_annealing_run_014,simulated_annealing,tsp,berlin52,1013,completed,evaluation_budget_exhausted,9504.0,9504.0,9504.0,31.293420499999684,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_berlin52_simulated_annealing,simulated_annealing_run_015,simulated_annealing,tsp,berlin52,1014,completed,evaluation_budget_exhausted,8953.0,8953.0,8953.0,31.498240600000372,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_berlin52_simulated_annealing,simulated_annealing_run_016,simulated_annealing,tsp,berlin52,1015,completed,evaluation_budget_exhausted,8864.0,8864.0,8864.0,32.162973200000124,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_berlin52_simulated_annealing,simulated_annealing_run_017,simulated_annealing,tsp,berlin52,1016,completed,evaluation_budget_exhausted,9137.0,9137.0,9137.0,32.30474030000005,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
