objective_evaluations,best_objective,current_objective,iteration
1,26798.0,26798.0,0
2,26798.0,26798.0,1
3,26798.0,26798.0,2
4,26798.0,26798.0,3
5,26798.0,26798.0,4
6,26798.0,26798.0,5
7,26798.0,26798.0,6
8,26798.0,26798.0,7
9,26798.0,29453.0,8
10,26798.0,29453.0,9
11,26798.0,29453.0,10
12,26798.0,29453.0,11
13,26798.0,29578.0,12
14,26798.0,33865.0,13
15,26798.0,35358.0,14
16,26798.0,35358.0,15
17,26798.0,35358.0,16
18,26798.0,35358.0,17
19,26798.0,36927.0,18
20,26798.0,36927.0,19
21,26798.0,38499.0,20
22,26798.0,40444.0,21
23,26798.0,45834.0,22
24,26798.0,50805.0,23
25,26798.0,55458.0,24
26,26798.0,55458.0,25
27,26798.0,55458.0,26
28,26798.0,62841.0,27
29,26798.0,66132.0,28
30,26798.0,66132.0,29
31,26798.0,66612.0,30
32,26798.0,66612.0,31
33,26798.0,67398.0,32
34,26798.0,67165.0,33
35,26798.0,67165.0,34
36,26798.0,67165.0,35
37,26798.0,68054.0,36
38,26798.0,71790.0,37
39,26798.0,72550.0,38
40,26798.0,74496.0,39
41,26798.0,74496.0,40
42,26798.0,74496.0,41
43,26798.0,74496.0,42
44,26798.0,74496.0,43
45,26798.0,74496.0,44
46,26798.0,74679.0,45
47,26798.0,74679.0,46
48,26798.0,76385.0,47
49,26798.0,78198.0,48
50,26798.0,78198.0,49
51,26798.0,78198.0,50
52,26798.0,76233.0,51
53,26798.0,76233.0,52
54,26798.0,76423.0,53
55,26798.0,81904.0,54
56,26798.0,81904.0,55
57,26798.0,81904.0,56
58,26798.0,84545.0,57
59,26798.0,84545.0,58
60,26798.0,87124.0,59
61,26798.0,87124.0,60
62,26798.0,86918.0,61
63,26798.0,86918.0,62
64,26798.0,86918.0,63
65,26798.0,87179.0,64
66,26798.0,87179.0,65
67,26798.0,92794.0,66
68,26798.0,92794.0,67
69,26798.0,93518.0,68
70,26798.0,94084.0,69
71,26798.0,92591.0,70
72,26798.0,91715.0,71
73,26798.0,96935.0,72
74,26798.0,96935.0,73
75,26798.0,96673.0,74
76,26798.0,96673.0,75
77,26798.0,93776.0,76
78,26798.0,93772.0,77
79,26798.0,95578.0,78
80,26798.0,95711.0,79
81,26798.0,95090.0,80
82,26798.0,95090.0,81
83,26798.0,94944.0,82
84,26798.0,94963.0,83
85,26798.0,94963.0,84
86,26798.0,96504.0,85
87,26798.0,98012.0,86
88,26798.0,98012.0,87
89,26798.0,101603.0,88
90,26798.0,102398.0,89
91,26798.0,102992.0,90
92,26798.0,103830.0,91
93,26798.0,100232.0,92
94,26798.0,100967.0,93
95,26798.0,100967.0,94
96,26798.0,100967.0,95
97,26798.0,102885.0,96
98,26798.0,103052.0,97
99,26798.0,102787.0,98
100,26798.0,97804.0,99
101,26798.0,98669.0,100
102,26798.0,99626.0,101
103,26798.0,99626.0,102
104,26798.0,99626.0,103
105,26798.0,101450.0,104
106,26798.0,101450.0,105
107,26798.0,101505.0,106
108,26798.0,99504.0,107
109,26798.0,104048.0,108
110,26798.0,102336.0,109
111,26798.0,108265.0,110
112,26798.0,108576.0,111
113,26798.0,108612.0,112
114,26798.0,108612.0,113
115,26798.0,112318.0,114
116,26798.0,111580.0,115
117,26798.0,112316.0,116
118,26798.0,112316.0,117
119,26798.0,112316.0,118
120,26798.0,113302.0,119
121,26798.0,111386.0,120
122,26798.0,111813.0,121
123,26798.0,114407.0,122
124,26798.0,114407.0,123
125,26798.0,114665.0,124
126,26798.0,111527.0,125
127,26798.0,111527.0,126
128,26798.0,111527.0,127
129,26798.0,113662.0,128
130,26798.0,113987.0,129
131,26798.0,113700.0,130
132,26798.0,113162.0,131
133,26798.0,113162.0,132
134,26798.0,113313.0,133
135,26798.0,112899.0,134
136,26798.0,112899.0,135
137,26798.0,112899.0,136
138,26798.0,113977.0,137
139,26798.0,113977.0,138
140,26798.0,114139.0,139
141,26798.0,114741.0,140
142,26798.0,115831.0,141
143,26798.0,117749.0,142
144,26798.0,117083.0,143
145,26798.0,116819.0,144
146,26798.0,118420.0,145
147,26798.0,118420.0,146
148,26798.0,118420.0,147
149,26798.0,120390.0,148
150,26798.0,120390.0,149
151,26798.0,120506.0,150
152,26798.0,120506.0,151
153,26798.0,119452.0,152
154,26798.0,119601.0,153
155,26798.0,119601.0,154
156,26798.0,119522.0,155
157,26798.0,119522.0,156
158,26798.0,119522.0,157
159,26798.0,119989.0,158
160,26798.0,118859.0,159
161,26798.0,118859.0,160
162,26798.0,118859.0,161
163,26798.0,118525.0,162
164,26798.0,118292.0,163
165,26798.0,119463.0,164
166,26798.0,119463.0,165
167,26798.0,119463.0,166
168,26798.0,119463.0,167
169,26798.0,122464.0,168
170,26798.0,122836.0,169
171,26798.0,122836.0,170
172,26798.0,124729.0,171
173,26798.0,125156.0,172
174,26798.0,125222.0,173
175,26798.0,125435.0,174
176,26798.0,125435.0,175
177,26798.0,127044.0,176
178,26798.0,130255.0,177
179,26798.0,130255.0,178
180,26798.0,130779.0,179
181,26798.0,131312.0,180
182,26798.0,133292.0,181
183,26798.0,133292.0,182
184,26798.0,131704.0,183
185,26798.0,131704.0,184
186,26798.0,135109.0,185
187,26798.0,135098.0,186
188,26798.0,135956.0,187
189,26798.0,137125.0,188
190,26798.0,138695.0,189
191,26798.0,139211.0,190
192,26798.0,139985.0,191
193,26798.0,138906.0,192
194,26798.0,139022.0,193
195,26798.0,140144.0,194
196,26798.0,139951.0,195
197,26798.0,138718.0,196
198,26798.0,139330.0,197
199,26798.0,139330.0,198
200,26798.0,139330.0,199
