experiment_name,run_id,algorithm,domain,instance,seed,status,stop_reason,initial_objective,best_objective,final_objective,runtime_seconds,objective_evaluations,iterations,parameters,error_message
tsp_kroA100_simulated_annealing,simulated_annealing_run_001,simulated_annealing,tsp,kroA100,1000,completed,evaluation_budget_exhausted,28016.0,28016.0,28016.0,28.4490080999999,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_002,simulated_annealing,tsp,kroA100,1001,completed,evaluation_budget_exhausted,27462.0,27462.0,27462.0,28.668955200000255,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_003,simulated_annealing,tsp,kroA100,1002,completed,evaluation_budget_exhausted,27027.0,27027.0,27027.0,28.87443499999972,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_004,simulated_annealing,tsp,kroA100,1003,completed,evaluation_budget_exhausted,25647.0,25647.0,25647.0,29.059663099999852,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_005,simulated_annealing,tsp,kroA100,1004,completed,evaluation_budget_exhausted,26326.0,26326.0,26326.0,30.17689100000007,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_006,simulated_annealing,tsp,kroA100,1005,completed,evaluation_budget_exhausted,25525.0,25426.0,25426.0,28.74656180000011,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_007,simulated_annealing,tsp,kroA100,1006,completed,evaluation_budget_exhausted,27333.0,27333.0,27333.0,29.23076949999995,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_008,simulated_annealing,tsp,kroA100,1007,completed,evaluation_budget_exhausted,27061.0,27061.0,27061.0,29.018209599999864,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_009,simulated_annealing,tsp,kroA100,1008,completed,evaluation_budget_exhausted,27382.0,27382.0,27382.0,29.577964000000065,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_010,simulated_annealing,tsp,kroA100,1009,completed,evaluation_budget_exhausted,26326.0,26326.0,26326.0,29.807968399999936,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_011,simulated_annealing,tsp,kroA100,1010,completed,evaluation_budget_exhausted,26478.0,26478.0,26478.0,28.264534199999616,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_012,simulated_annealing,tsp,kroA100,1011,completed,evaluation_budget_exhausted,26839.0,26839.0,26839.0,28.618494800000008,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_013,simulated_annealing,tsp,kroA100,1012,completed,evaluation_budget_exhausted,27224.0,27224.0,27224.0,28.512089599999854,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_014,simulated_annealing,tsp,kroA100,1013,completed,evaluation_budget_exhausted,28259.0,28259.0,28259.0,28.264459400000305,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_015,simulated_annealing,tsp,kroA100,1014,completed,evaluation_budget_exhausted,26782.0,26782.0,26782.0,28.983275699999467,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_016,simulated_annealing,tsp,kroA100,1015,completed,evaluation_budget_exhausted,26741.0,26741.0,26741.0,28.102279499999895,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_017,simulated_annealing,tsp,kroA100,1016,completed,evaluation_budget_exhausted,26288.0,26288.0,26288.0,43.56461920000038,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_018,simulated_annealing,tsp,kroA100,1017,completed,evaluation_budget_exhausted,27382.0,27382.0,27382.0,44.30581549999988,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_019,simulated_annealing,tsp,kroA100,1018,completed,evaluation_budget_exhausted,26709.0,26709.0,26709.0,36.96530189999976,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_020,simulated_annealing,tsp,kroA100,1019,completed,evaluation_budget_exhausted,26466.0,26466.0,26466.0,36.56021360000068,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_021,simulated_annealing,tsp,kroA100,1020,completed,evaluation_budget_exhausted,26912.0,26912.0,26912.0,36.55350379999982,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_022,simulated_annealing,tsp,kroA100,1021,completed,evaluation_budget_exhausted,27211.0,27211.0,27211.0,38.83741790000022,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_023,simulated_annealing,tsp,kroA100,1022,completed,evaluation_budget_exhausted,26798.0,26798.0,26798.0,43.368751100000736,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_024,simulated_annealing,tsp,kroA100,1023,completed,evaluation_budget_exhausted,26678.0,26678.0,26678.0,47.045651200000066,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_025,simulated_annealing,tsp,kroA100,1024,completed,evaluation_budget_exhausted,27682.0,27682.0,27682.0,42.45791800000006,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_026,simulated_annealing,tsp,kroA100,1025,completed,evaluation_budget_exhausted,28075.0,28075.0,28075.0,40.32075090000035,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_kroA100_simulated_annealing,simulated_annealing_run_027,simulated_annealing,tsp,kroA100,1026,completed,evaluation_budget_exhausted,27015.0,27015.0,27015.0,41.54395979999936,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
