experiment_name,run_id,algorithm,domain,instance,seed,status,stop_reason,initial_objective,best_objective,final_objective,runtime_seconds,objective_evaluations,iterations,parameters,error_message
tsp_rat195_simulated_annealing,simulated_annealing_run_001,simulated_annealing,tsp,rat195,1000,completed,evaluation_budget_exhausted,2848.0,2848.0,2848.0,35.95523819999926,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_rat195_simulated_annealing,simulated_annealing_run_002,simulated_annealing,tsp,rat195,1001,completed,evaluation_budget_exhausted,2653.0,2653.0,2653.0,35.81838059999973,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_rat195_simulated_annealing,simulated_annealing_run_003,simulated_annealing,tsp,rat195,1002,completed,evaluation_budget_exhausted,2791.0,2791.0,2791.0,36.73736469999949,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_rat195_simulated_annealing,simulated_annealing_run_004,simulated_annealing,tsp,rat195,1003,completed,evaluation_budget_exhausted,2962.0,2962.0,2962.0,35.69467359999999,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_rat195_simulated_annealing,simulated_annealing_run_005,simulated_annealing,tsp,rat195,1004,completed,evaluation_budget_exhausted,2825.0,2825.0,2825.0,34.92799279999963,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_rat195_simulated_annealing,simulated_annealing_run_006,simulated_annealing,tsp,rat195,1005,completed,evaluation_budget_exhausted,2803.0,2803.0,2803.0,35.251574699999765,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_rat195_simulated_annealing,simulated_annealing_run_007,simulated_annealing,tsp,rat195,1006,completed,evaluation_budget_exhausted,2746.0,2746.0,2746.0,34.57256159999997,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_rat195_simulated_annealing,simulated_annealing_run_008,simulated_annealing,tsp,rat195,1007,completed,evaluation_budget_exhausted,2973.0,2973.0,2973.0,34.5151979000002,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_rat195_simulated_annealing,simulated_annealing_run_009,simulated_annealing,tsp,rat195,1008,completed,evaluation_budget_exhausted,2753.0,2753.0,2753.0,35.57025639999938,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
tsp_rat195_simulated_annealing,simulated_annealing_run_010,simulated_annealing,tsp,rat195,1009,completed,evaluation_budget_exhausted,2905.0,2905.0,2905.0,34.34204030000001,100000,99999,"{""cooling_factor"": 0.9995, ""final_temperature"": 0.001, ""initial_temperature"": 3000.0, ""moves_per_temperature"": 200, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""]}",
