objective_evaluations,best_objective,current_objective,iteration
1,530.0,530.0,0
101,530.0,530.0,1
201,525.0,525.0,2
301,518.0,518.0,3
401,511.0,511.0,4
501,493.0,493.0,5
601,489.0,489.0,6
701,487.0,487.0,7
801,483.0,483.0,8
901,477.0,477.0,9
1001,476.0,476.0,10
1101,476.0,479.0,11
1201,476.0,478.0,12
1301,476.0,480.0,13
1401,476.0,480.0,14
1501,476.0,480.0,15
1601,476.0,481.0,16
1701,476.0,478.0,17
1801,476.0,478.0,18
1901,475.0,475.0,19
2001,472.0,472.0,20
2101,469.0,469.0,21
2201,468.0,468.0,22
2301,467.0,467.0,23
2401,467.0,467.0,24
2501,467.0,467.0,25
2601,467.0,474.0,26
2701,467.0,470.0,27
2801,466.0,466.0,28
2901,464.0,464.0,29
3001,464.0,464.0,30
3101,459.0,459.0,31
3201,458.0,458.0,32
3301,455.0,455.0,33
3401,455.0,455.0,34
3501,455.0,457.0,35
3601,455.0,459.0,36
3701,455.0,459.0,37
3801,455.0,455.0,38
3901,455.0,456.0,39
4001,447.0,447.0,40
4101,447.0,451.0,41
4201,447.0,454.0,42
4301,447.0,461.0,43
4401,447.0,461.0,44
4501,447.0,469.0,45
4601,447.0,470.0,46
4701,447.0,474.0,47
4801,447.0,477.0,48
4901,447.0,477.0,49
5001,447.0,482.0,50
5101,447.0,476.0,51
5201,447.0,479.0,52
5301,447.0,479.0,53
5401,447.0,482.0,54
5501,447.0,481.0,55
5601,447.0,483.0,56
5701,447.0,480.0,57
5801,447.0,480.0,58
5901,447.0,484.0,59
6001,447.0,484.0,60
6101,447.0,490.0,61
6201,447.0,497.0,62
6301,447.0,502.0,63
6401,447.0,510.0,64
6501,447.0,504.0,65
6601,447.0,504.0,66
6701,447.0,497.0,67
6801,447.0,493.0,68
6901,447.0,494.0,69
7001,447.0,489.0,70
7101,447.0,486.0,71
7201,447.0,479.0,72
7301,447.0,474.0,73
7401,447.0,474.0,74
7501,447.0,468.0,75
7601,447.0,474.0,76
7701,447.0,468.0,77
7801,447.0,457.0,78
7901,447.0,462.0,79
8001,447.0,462.0,80
8101,447.0,459.0,81
8201,447.0,459.0,82
8301,447.0,465.0,83
8401,447.0,452.0,84
8501,447.0,452.0,85
8601,447.0,454.0,86
8701,447.0,450.0,87
8801,447.0,455.0,88
8901,447.0,455.0,89
9001,447.0,455.0,90
9101,447.0,450.0,91
9201,447.0,450.0,92
9301,444.0,444.0,93
9401,444.0,444.0,94
9501,444.0,449.0,95
9601,444.0,453.0,96
9701,444.0,459.0,97
9801,444.0,457.0,98
9901,444.0,463.0,99
10001,444.0,462.0,100
10101,444.0,457.0,101
10201,444.0,457.0,102
10301,444.0,458.0,103
10401,444.0,458.0,104
10501,444.0,451.0,105
10601,444.0,451.0,106
10701,444.0,455.0,107
10801,444.0,455.0,108
10901,444.0,459.0,109
11001,444.0,468.0,110
11101,444.0,468.0,111
11201,444.0,474.0,112
11301,444.0,474.0,113
11401,444.0,480.0,114
11501,444.0,464.0,115
11601,444.0,461.0,116
11701,444.0,457.0,117
11801,444.0,452.0,118
11901,444.0,455.0,119
12001,444.0,455.0,120
12101,444.0,457.0,121
12201,444.0,448.0,122
12301,444.0,445.0,123
12401,444.0,454.0,124
12501,444.0,454.0,125
12601,444.0,454.0,126
12701,444.0,454.0,127
12801,444.0,454.0,128
12901,444.0,461.0,129
13001,444.0,466.0,130
13101,444.0,463.0,131
13201,444.0,466.0,132
13301,444.0,464.0,133
13401,444.0,464.0,134
13501,444.0,464.0,135
13601,444.0,464.0,136
13701,444.0,465.0,137
13801,444.0,460.0,138
13901,444.0,460.0,139
14001,444.0,457.0,140
14101,444.0,456.0,141
14201,444.0,456.0,142
14301,444.0,456.0,143
14401,444.0,461.0,144
14501,444.0,461.0,145
14601,444.0,466.0,146
14701,444.0,462.0,147
14801,444.0,463.0,148
14901,444.0,463.0,149
15001,444.0,463.0,150
15101,444.0,466.0,151
15201,444.0,459.0,152
15301,444.0,459.0,153
15401,444.0,462.0,154
15501,444.0,462.0,155
15601,444.0,459.0,156
15701,444.0,462.0,157
15801,444.0,454.0,158
15901,444.0,453.0,159
16001,444.0,458.0,160
16101,444.0,465.0,161
16201,444.0,470.0,162
16301,444.0,470.0,163
16401,444.0,470.0,164
16501,444.0,467.0,165
16601,444.0,467.0,166
16701,444.0,466.0,167
16801,444.0,459.0,168
16901,444.0,468.0,169
17001,444.0,480.0,170
17101,444.0,475.0,171
17201,444.0,475.0,172
17301,444.0,475.0,173
17401,444.0,475.0,174
17501,444.0,475.0,175
17601,444.0,466.0,176
17701,444.0,459.0,177
17801,444.0,458.0,178
17901,444.0,464.0,179
18001,444.0,463.0,180
18101,444.0,471.0,181
18201,444.0,477.0,182
18301,444.0,480.0,183
18401,444.0,486.0,184
18501,444.0,487.0,185
18601,444.0,487.0,186
18701,444.0,482.0,187
18801,444.0,482.0,188
18901,444.0,482.0,189
19001,444.0,487.0,190
19101,444.0,491.0,191
19201,444.0,498.0,192
19301,444.0,498.0,193
19401,444.0,488.0,194
19501,444.0,489.0,195
19601,444.0,489.0,196
19701,444.0,484.0,197
19801,444.0,477.0,198
19901,444.0,468.0,199
20001,444.0,469.0,200
20101,444.0,464.0,201
20201,444.0,466.0,202
20301,444.0,466.0,203
20401,444.0,474.0,204
20501,444.0,474.0,205
20601,444.0,473.0,206
20701,444.0,473.0,207
20801,444.0,473.0,208
20901,444.0,476.0,209
21001,444.0,476.0,210
21101,444.0,482.0,211
21201,444.0,482.0,212
21301,444.0,480.0,213
21401,444.0,480.0,214
21501,444.0,474.0,215
21601,444.0,484.0,216
21701,444.0,488.0,217
21801,444.0,489.0,218
21901,444.0,492.0,219
22001,444.0,491.0,220
22101,444.0,482.0,221
22201,444.0,477.0,222
22301,444.0,477.0,223
22401,444.0,482.0,224
22501,444.0,476.0,225
22601,444.0,481.0,226
22701,444.0,481.0,227
22801,444.0,481.0,228
22901,444.0,471.0,229
23001,444.0,471.0,230
23101,444.0,467.0,231
23201,444.0,469.0,232
23301,444.0,475.0,233
23401,444.0,477.0,234
23501,444.0,477.0,235
23601,444.0,480.0,236
23701,444.0,484.0,237
23801,444.0,484.0,238
23901,444.0,484.0,239
24001,444.0,479.0,240
24101,444.0,487.0,241
24201,444.0,482.0,242
24301,444.0,485.0,243
24401,444.0,483.0,244
24501,444.0,483.0,245
24601,444.0,482.0,246
24701,444.0,481.0,247
24801,444.0,481.0,248
24901,444.0,484.0,249
25001,444.0,490.0,250
25101,444.0,497.0,251
25201,444.0,493.0,252
25301,444.0,484.0,253
25401,444.0,490.0,254
25501,444.0,490.0,255
25601,444.0,490.0,256
25701,444.0,494.0,257
25801,444.0,488.0,258
25901,444.0,483.0,259
26001,444.0,483.0,260
26101,444.0,487.0,261
26201,444.0,483.0,262
26301,444.0,487.0,263
26401,444.0,482.0,264
26501,444.0,491.0,265
26601,444.0,491.0,266
26701,444.0,491.0,267
26801,444.0,485.0,268
26901,444.0,479.0,269
27001,444.0,471.0,270
27101,444.0,472.0,271
27201,444.0,473.0,272
27301,444.0,473.0,273
27401,444.0,459.0,274
27501,444.0,461.0,275
27601,444.0,461.0,276
27701,444.0,464.0,277
27801,444.0,464.0,278
27901,444.0,468.0,279
28001,444.0,468.0,280
28101,444.0,468.0,281
28201,444.0,461.0,282
28301,444.0,464.0,283
28401,444.0,464.0,284
28501,444.0,462.0,285
28601,444.0,460.0,286
28701,444.0,455.0,287
28801,444.0,461.0,288
28901,444.0,459.0,289
29001,444.0,451.0,290
29101,444.0,451.0,291
29201,444.0,451.0,292
29301,444.0,457.0,293
29401,444.0,457.0,294
29501,444.0,461.0,295
29601,444.0,461.0,296
29701,444.0,469.0,297
29801,444.0,469.0,298
29901,444.0,477.0,299
30001,444.0,487.0,300
30101,444.0,487.0,301
30201,444.0,495.0,302
30301,444.0,487.0,303
30401,444.0,487.0,304
