objective_evaluations,best_objective,current_objective,iteration
1,9214.0,9214.0,0
101,9007.0,9007.0,1
201,9007.0,9007.0,2
301,9007.0,9027.0,3
401,9007.0,9067.0,4
501,8840.0,8840.0,5
601,8734.0,8734.0,6
701,8711.0,8711.0,7
801,8711.0,8731.0,8
901,8711.0,8729.0,9
1001,8632.0,8632.0,10
1101,8497.0,8497.0,11
1201,8480.0,8480.0,12
1301,8480.0,8511.0,13
1401,8470.0,8470.0,14
1501,8470.0,8532.0,15
1601,8470.0,8528.0,16
1701,8470.0,8646.0,17
1801,8470.0,8646.0,18
1901,8470.0,8663.0,19
2001,8470.0,8663.0,20
2101,8470.0,8681.0,21
2201,8470.0,8671.0,22
2301,8470.0,8738.0,23
2401,8470.0,8738.0,24
2501,8470.0,8719.0,25
2601,8470.0,8640.0,26
2701,8470.0,8640.0,27
2801,8470.0,8642.0,28
2901,8470.0,8642.0,29
3001,8470.0,8642.0,30
3101,8470.0,8584.0,31
3201,8470.0,8519.0,32
3301,8470.0,8519.0,33
3401,8470.0,8519.0,34
3501,8470.0,8531.0,35
3601,8470.0,8524.0,36
3701,8470.0,8524.0,37
3801,8437.0,8437.0,38
3901,8414.0,8414.0,39
4001,8414.0,8470.0,40
4101,8414.0,8489.0,41
4201,8414.0,8533.0,42
4301,8263.0,8263.0,43
4401,8263.0,8263.0,44
4501,8263.0,8335.0,45
4601,8263.0,8309.0,46
4701,8263.0,8410.0,47
4801,8263.0,8409.0,48
4901,8263.0,8424.0,49
5001,8263.0,8318.0,50
5101,8263.0,8333.0,51
5201,8263.0,8366.0,52
5301,8263.0,8376.0,53
5401,8263.0,8376.0,54
5501,8263.0,8387.0,55
5601,8263.0,8452.0,56
5701,8263.0,8384.0,57
5801,8263.0,8384.0,58
5901,8263.0,8383.0,59
6001,8126.0,8126.0,60
6101,8121.0,8121.0,61
6201,8112.0,8112.0,62
6301,8106.0,8106.0,63
6401,8101.0,8101.0,64
6501,8101.0,8101.0,65
6601,8101.0,8112.0,66
6701,8101.0,8101.0,67
6801,8101.0,8103.0,68
6901,8060.0,8060.0,69
7001,8037.0,8037.0,70
7101,7998.0,7998.0,71
7201,7960.0,7960.0,72
7301,7960.0,7960.0,73
7401,7960.0,8036.0,74
7501,7960.0,8053.0,75
7601,7960.0,8053.0,76
7701,7960.0,8058.0,77
7801,7960.0,8058.0,78
7901,7960.0,8108.0,79
8001,7960.0,8108.0,80
8101,7960.0,8091.0,81
8201,7960.0,8091.0,82
8301,7960.0,8119.0,83
8401,7960.0,8138.0,84
8501,7960.0,8158.0,85
8601,7960.0,8183.0,86
8701,7960.0,8179.0,87
8801,7960.0,8281.0,88
8901,7960.0,8281.0,89
9001,7960.0,8309.0,90
9101,7960.0,8290.0,91
9201,7960.0,8384.0,92
9301,7960.0,8372.0,93
9401,7960.0,8175.0,94
9501,7960.0,8224.0,95
9601,7960.0,8174.0,96
9701,7960.0,8142.0,97
9801,7960.0,8281.0,98
9901,7960.0,8353.0,99
10001,7960.0,8353.0,100
10101,7960.0,8355.0,101
10201,7960.0,8324.0,102
10301,7960.0,8326.0,103
10401,7960.0,8268.0,104
10501,7960.0,8293.0,105
10601,7960.0,8298.0,106
10701,7960.0,8208.0,107
10801,7960.0,8208.0,108
10901,7960.0,8194.0,109
11001,7960.0,8142.0,110
11101,7960.0,8142.0,111
11201,7960.0,8073.0,112
11301,7960.0,8286.0,113
11401,7960.0,8230.0,114
11501,7960.0,8204.0,115
11601,7960.0,8178.0,116
11701,7960.0,8195.0,117
11801,7960.0,8195.0,118
11901,7960.0,8160.0,119
12001,7960.0,8154.0,120
12101,7960.0,8123.0,121
12201,7960.0,8198.0,122
12301,7960.0,8248.0,123
12401,7960.0,8248.0,124
12501,7960.0,8300.0,125
12601,7960.0,8247.0,126
12701,7960.0,8407.0,127
12801,7960.0,8361.0,128
12901,7960.0,8362.0,129
13001,7960.0,8371.0,130
13101,7960.0,8448.0,131
13201,7960.0,8436.0,132
13301,7960.0,8548.0,133
13401,7960.0,8515.0,134
13501,7960.0,8224.0,135
13601,7960.0,8224.0,136
13701,7960.0,8224.0,137
13801,7960.0,8223.0,138
13901,7960.0,8223.0,139
14001,7960.0,8223.0,140
14101,7960.0,8214.0,141
14201,7960.0,8215.0,142
14301,7960.0,8202.0,143
14401,7960.0,8149.0,144
14501,7960.0,8164.0,145
14601,7960.0,8176.0,146
14701,7960.0,8176.0,147
14801,7960.0,8176.0,148
14901,7960.0,8266.0,149
15001,7960.0,8266.0,150
15101,7960.0,8194.0,151
15201,7960.0,8117.0,152
15301,7960.0,8117.0,153
15401,7960.0,8114.0,154
15501,7960.0,8103.0,155
15601,7960.0,8177.0,156
15701,7960.0,8204.0,157
15801,7960.0,8189.0,158
15901,7960.0,8152.0,159
16001,7960.0,8152.0,160
16101,7960.0,8152.0,161
16201,7960.0,8152.0,162
16301,7960.0,8180.0,163
16401,7960.0,8241.0,164
16501,7960.0,8238.0,165
16601,7960.0,8243.0,166
16701,7960.0,8253.0,167
16801,7960.0,8253.0,168
16901,7960.0,8218.0,169
17001,7960.0,8218.0,170
17101,7960.0,8193.0,171
17201,7960.0,8177.0,172
17301,7960.0,8211.0,173
17401,7960.0,8211.0,174
17501,7960.0,8254.0,175
17601,7960.0,8302.0,176
17701,7960.0,8301.0,177
17801,7960.0,8301.0,178
17901,7960.0,8300.0,179
18001,7960.0,8291.0,180
18101,7960.0,8289.0,181
18201,7960.0,8264.0,182
18301,7960.0,8136.0,183
18401,7960.0,8232.0,184
18501,7960.0,8225.0,185
18601,7960.0,8311.0,186
18701,7960.0,8311.0,187
18801,7960.0,8288.0,188
18901,7960.0,8288.0,189
19001,7960.0,8288.0,190
19101,7960.0,8288.0,191
19201,7960.0,8287.0,192
19301,7960.0,8293.0,193
19401,7960.0,8147.0,194
19501,7960.0,8147.0,195
19601,7960.0,8123.0,196
19701,7960.0,8115.0,197
19801,7960.0,8167.0,198
19901,7960.0,8230.0,199
20001,7960.0,8144.0,200
20101,7960.0,8145.0,201
20201,7960.0,8113.0,202
20301,7960.0,8187.0,203
20401,7960.0,8202.0,204
20501,7960.0,8191.0,205
20601,7960.0,8087.0,206
20701,7960.0,8100.0,207
20801,7960.0,8077.0,208
20901,7960.0,8012.0,209
21001,7960.0,8012.0,210
21101,7960.0,8060.0,211
21201,7960.0,8060.0,212
21301,7960.0,8042.0,213
21401,7960.0,8042.0,214
21501,7960.0,8106.0,215
21601,7960.0,8106.0,216
21701,7960.0,8106.0,217
21801,7960.0,8186.0,218
21901,7960.0,8095.0,219
22001,7960.0,8190.0,220
22101,7960.0,8275.0,221
22201,7960.0,8212.0,222
22301,7960.0,8157.0,223
22401,7960.0,8145.0,224
22501,7960.0,8144.0,225
22601,7960.0,8140.0,226
22701,7960.0,8140.0,227
22801,7960.0,8240.0,228
22901,7960.0,8313.0,229
23001,7960.0,8316.0,230
23101,7960.0,8231.0,231
23201,7960.0,8228.0,232
23301,7960.0,8188.0,233
23401,7960.0,8240.0,234
23501,7960.0,8169.0,235
23601,7960.0,8120.0,236
23701,7960.0,8072.0,237
23801,7960.0,8060.0,238
23901,7960.0,8194.0,239
24001,7960.0,8152.0,240
24101,7960.0,8078.0,241
24201,7960.0,8070.0,242
24301,7960.0,8070.0,243
24401,7960.0,8128.0,244
24501,7960.0,8163.0,245
24601,7960.0,8214.0,246
24701,7960.0,8080.0,247
24801,7960.0,8000.0,248
24901,7937.0,7937.0,249
25001,7885.0,7885.0,250
25101,7885.0,8014.0,251
25201,7885.0,8014.0,252
25301,7885.0,8054.0,253
25401,7885.0,8120.0,254
25501,7885.0,8113.0,255
25601,7885.0,8086.0,256
25701,7885.0,8161.0,257
25801,7885.0,8219.0,258
25901,7885.0,8135.0,259
26001,7885.0,8092.0,260
26101,7885.0,8115.0,261
26201,7885.0,8119.0,262
26301,7885.0,8119.0,263
26401,7885.0,8063.0,264
26501,7885.0,8028.0,265
26601,7885.0,7951.0,266
26701,7885.0,7952.0,267
26801,7885.0,7942.0,268
26901,7885.0,7942.0,269
27001,7885.0,7956.0,270
27101,7885.0,7946.0,271
27201,7885.0,7946.0,272
27301,7885.0,7937.0,273
27401,7885.0,7897.0,274
27501,7885.0,7945.0,275
27601,7885.0,7954.0,276
27701,7885.0,7923.0,277
27801,7885.0,7923.0,278
27901,7885.0,7923.0,279
28001,7885.0,7892.0,280
28101,7840.0,7840.0,281
28201,7840.0,7840.0,282
28301,7806.0,7806.0,283
28401,7806.0,7806.0,284
28501,7805.0,7805.0,285
28601,7805.0,7822.0,286
28701,7805.0,7844.0,287
28801,7805.0,7902.0,288
28901,7805.0,7902.0,289
29001,7805.0,7902.0,290
29101,7805.0,7873.0,291
29201,7805.0,7948.0,292
29301,7805.0,7977.0,293
29401,7805.0,8034.0,294
29501,7805.0,8041.0,295
29601,7805.0,8008.0,296
29701,7805.0,8008.0,297
29801,7805.0,7884.0,298
29901,7805.0,7849.0,299
30001,7805.0,7849.0,300
30101,7801.0,7801.0,301
30201,7801.0,7801.0,302
30301,7771.0,7771.0,303
30401,7771.0,7805.0,304
30501,7771.0,7805.0,305
30601,7771.0,7876.0,306
30701,7771.0,7876.0,307
30801,7771.0,7876.0,308
30901,7771.0,7880.0,309
