objective_evaluations,best_objective,current_objective,iteration
1,3171.0,3171.0,0
2,3053.0,3053.0,1
3,3053.0,3186.0,2
4,3053.0,3186.0,3
5,3053.0,3082.0,4
6,3053.0,3082.0,5
7,3053.0,3075.0,6
8,3029.0,3029.0,7
9,3029.0,3029.0,8
10,2826.0,2826.0,9
11,2783.0,2783.0,10
12,2783.0,3120.0,11
13,2783.0,3120.0,12
14,2783.0,3005.0,13
15,2783.0,3005.0,14
16,2710.0,2710.0,15
17,2710.0,2736.0,16
18,2710.0,2758.0,17
19,2710.0,2845.0,18
20,2710.0,2845.0,19
21,2710.0,2845.0,20
22,2710.0,2845.0,21
23,2710.0,2926.0,22
24,2710.0,2735.0,23
25,2710.0,2735.0,24
26,2710.0,2735.0,25
27,2710.0,2746.0,26
28,2710.0,2746.0,27
29,2710.0,2832.0,28
30,2710.0,2846.0,29
31,2710.0,2846.0,30
32,2710.0,2901.0,31
33,2710.0,2773.0,32
34,2710.0,2773.0,33
35,2687.0,2687.0,34
36,2523.0,2523.0,35
37,2328.0,2328.0,36
38,2328.0,2328.0,37
39,2048.0,2048.0,38
40,2048.0,2079.0,39
41,2048.0,2079.0,40
42,2048.0,2083.0,41
43,2048.0,2094.0,42
44,2048.0,2141.0,43
45,2048.0,2497.0,44
46,2048.0,2339.0,45
47,2048.0,2402.0,46
48,2048.0,2402.0,47
49,2048.0,2362.0,48
50,2048.0,2362.0,49
51,2048.0,2362.0,50
52,2048.0,2328.0,51
53,2048.0,2339.0,52
54,2048.0,2299.0,53
55,2048.0,2349.0,54
56,2048.0,2097.0,55
57,2048.0,2068.0,56
58,2048.0,2068.0,57
59,2048.0,2068.0,58
60,2006.0,2006.0,59
61,1917.0,1917.0,60
62,1906.0,1906.0,61
63,1906.0,1906.0,62
64,1906.0,1987.0,63
65,1906.0,1987.0,64
66,1906.0,2073.0,65
67,1906.0,2027.0,66
68,1906.0,1936.0,67
69,1906.0,1928.0,68
70,1906.0,2089.0,69
71,1906.0,2089.0,70
72,1847.0,1847.0,71
73,1847.0,1847.0,72
74,1838.0,1838.0,73
75,1838.0,1934.0,74
76,1838.0,1934.0,75
77,1816.0,1816.0,76
78,1757.0,1757.0,77
79,1757.0,2044.0,78
80,1757.0,1817.0,79
81,1757.0,1889.0,80
82,1757.0,1954.0,81
83,1757.0,1945.0,82
84,1757.0,2000.0,83
85,1757.0,2000.0,84
86,1757.0,2000.0,85
87,1757.0,1812.0,86
88,1757.0,1802.0,87
89,1687.0,1687.0,88
90,1687.0,1804.0,89
91,1687.0,1804.0,90
92,1609.0,1609.0,91
93,1609.0,1678.0,92
94,1576.0,1576.0,93
95,1469.0,1469.0,94
96,1469.0,1469.0,95
97,1469.0,1593.0,96
98,1469.0,1593.0,97
99,1469.0,1512.0,98
100,1469.0,1598.0,99
101,1469.0,1485.0,100
102,1469.0,1590.0,101
103,1469.0,1544.0,102
104,1469.0,1619.0,103
105,1469.0,1707.0,104
106,1469.0,1657.0,105
107,1469.0,1657.0,106
108,1469.0,1703.0,107
109,1469.0,1559.0,108
110,1469.0,1614.0,109
111,1469.0,1614.0,110
112,1469.0,1614.0,111
113,1469.0,1578.0,112
114,1469.0,1496.0,113
115,1469.0,1583.0,114
116,1469.0,1632.0,115
117,1469.0,1611.0,116
118,1469.0,1539.0,117
119,1469.0,1607.0,118
120,1469.0,1565.0,119
121,1469.0,1597.0,120
122,1469.0,1597.0,121
123,1469.0,1513.0,122
124,1469.0,1648.0,123
125,1469.0,1648.0,124
126,1469.0,1615.0,125
127,1469.0,1615.0,126
128,1469.0,1615.0,127
129,1469.0,1655.0,128
130,1469.0,1587.0,129
131,1469.0,1525.0,130
132,1469.0,1525.0,131
133,1469.0,1551.0,132
134,1469.0,1606.0,133
135,1469.0,1687.0,134
136,1469.0,1708.0,135
137,1469.0,1708.0,136
138,1469.0,1752.0,137
139,1469.0,1763.0,138
140,1469.0,1763.0,139
141,1469.0,1763.0,140
