objective_evaluations,best_objective,current_objective,iteration
1,26839.0,26839.0,0
101,26839.0,26925.0,1
201,26839.0,26845.0,2
301,26708.0,26708.0,3
401,26622.0,26622.0,4
501,26572.0,26572.0,5
601,26561.0,26561.0,6
701,26561.0,26658.0,7
801,26561.0,26658.0,8
901,26561.0,26892.0,9
1001,26561.0,26856.0,10
1101,26561.0,27123.0,11
1201,26561.0,27162.0,12
1301,26561.0,27123.0,13
1401,26561.0,27108.0,14
1501,26561.0,27556.0,15
1601,26561.0,27413.0,16
1701,26561.0,27643.0,17
1801,26561.0,27376.0,18
1901,26561.0,27376.0,19
2001,26561.0,27371.0,20
2101,26561.0,27371.0,21
2201,26561.0,27424.0,22
2301,26561.0,27634.0,23
2401,26561.0,27279.0,24
2501,26561.0,27329.0,25
2601,26561.0,27409.0,26
2701,26561.0,27147.0,27
2801,26561.0,27105.0,28
2901,26561.0,27159.0,29
3001,26561.0,27103.0,30
3101,26561.0,27154.0,31
3201,26561.0,27336.0,32
3301,26561.0,27336.0,33
3401,26561.0,27350.0,34
3501,26561.0,27614.0,35
3601,26561.0,27607.0,36
3701,26561.0,27653.0,37
3801,26561.0,27916.0,38
3901,26561.0,27893.0,39
4001,26561.0,27843.0,40
4101,26561.0,28052.0,41
4201,26561.0,28071.0,42
4301,26561.0,28159.0,43
4401,26561.0,28116.0,44
4501,26561.0,28034.0,45
4601,26561.0,27847.0,46
4701,26561.0,27865.0,47
4801,26561.0,27710.0,48
4901,26561.0,27710.0,49
5001,26561.0,27884.0,50
5101,26561.0,27922.0,51
5201,26561.0,27997.0,52
5301,26561.0,27806.0,53
5401,26561.0,27851.0,54
5501,26561.0,27807.0,55
5601,26561.0,27675.0,56
5701,26561.0,27648.0,57
5801,26561.0,27581.0,58
5901,26561.0,27489.0,59
6001,26561.0,27528.0,60
6101,26561.0,27528.0,61
6201,26561.0,27581.0,62
6301,26561.0,27661.0,63
6401,26561.0,27926.0,64
6501,26561.0,27815.0,65
6601,26561.0,27493.0,66
6701,26561.0,27505.0,67
6801,26561.0,27898.0,68
6901,26561.0,28221.0,69
7001,26561.0,28452.0,70
7101,26561.0,28353.0,71
7201,26561.0,27900.0,72
7301,26561.0,27725.0,73
7401,26561.0,27178.0,74
7501,26561.0,27117.0,75
7601,26561.0,27170.0,76
7701,26561.0,27188.0,77
7801,26561.0,27517.0,78
7901,26561.0,27517.0,79
8001,26561.0,27413.0,80
8101,26561.0,27532.0,81
8201,26561.0,28190.0,82
8301,26561.0,28190.0,83
8401,26561.0,28218.0,84
8501,26561.0,28143.0,85
8601,26561.0,28090.0,86
8701,26561.0,28002.0,87
8801,26561.0,28097.0,88
8901,26561.0,27976.0,89
9001,26561.0,27971.0,90
9101,26561.0,27917.0,91
9201,26561.0,27785.0,92
9301,26561.0,27638.0,93
9401,26561.0,27676.0,94
9501,26561.0,27676.0,95
9601,26561.0,27757.0,96
9701,26561.0,27757.0,97
9801,26561.0,27696.0,98
9901,26561.0,27889.0,99
10001,26561.0,28527.0,100
10101,26561.0,28482.0,101
10201,26561.0,28557.0,102
10301,26561.0,28545.0,103
10401,26561.0,28749.0,104
10501,26561.0,28702.0,105
10601,26561.0,28751.0,106
10701,26561.0,28547.0,107
10801,26561.0,28475.0,108
10901,26561.0,28306.0,109
11001,26561.0,28149.0,110
11101,26561.0,28051.0,111
11201,26561.0,27956.0,112
11301,26561.0,27591.0,113
11401,26561.0,27646.0,114
11501,26561.0,27591.0,115
11601,26561.0,27542.0,116
11701,26561.0,27499.0,117
11801,26561.0,27639.0,118
11901,26561.0,27692.0,119
12001,26561.0,27763.0,120
12101,26561.0,27740.0,121
12201,26561.0,27830.0,122
12301,26561.0,27791.0,123
12401,26561.0,27840.0,124
12501,26561.0,27840.0,125
12601,26561.0,27948.0,126
12701,26561.0,27752.0,127
12801,26561.0,27806.0,128
12901,26561.0,27820.0,129
13001,26561.0,27869.0,130
13101,26561.0,27802.0,131
13201,26561.0,28106.0,132
13301,26561.0,27909.0,133
13401,26561.0,27947.0,134
13501,26561.0,27907.0,135
13601,26561.0,27914.0,136
13701,26561.0,28285.0,137
13801,26561.0,28447.0,138
13901,26561.0,28436.0,139
14001,26561.0,28535.0,140
14101,26561.0,29011.0,141
14201,26561.0,28895.0,142
14301,26561.0,28703.0,143
14401,26561.0,28808.0,144
14501,26561.0,28756.0,145
14601,26561.0,28836.0,146
14701,26561.0,29022.0,147
14801,26561.0,29022.0,148
14901,26561.0,29288.0,149
15001,26561.0,29286.0,150
15101,26561.0,29305.0,151
15201,26561.0,29198.0,152
15301,26561.0,29177.0,153
15401,26561.0,29179.0,154
15501,26561.0,29204.0,155
15601,26561.0,29158.0,156
15701,26561.0,29207.0,157
15801,26561.0,29400.0,158
15901,26561.0,29388.0,159
16001,26561.0,29204.0,160
16101,26561.0,28891.0,161
16201,26561.0,28705.0,162
16301,26561.0,29028.0,163
16401,26561.0,29113.0,164
16501,26561.0,29056.0,165
16601,26561.0,28899.0,166
16701,26561.0,28689.0,167
16801,26561.0,28583.0,168
16901,26561.0,28478.0,169
17001,26561.0,28806.0,170
17101,26561.0,28726.0,171
17201,26561.0,28874.0,172
17301,26561.0,28761.0,173
17401,26561.0,28475.0,174
17501,26561.0,28644.0,175
17601,26561.0,28511.0,176
17701,26561.0,28246.0,177
17801,26561.0,28345.0,178
17901,26561.0,28188.0,179
18001,26561.0,28273.0,180
18101,26561.0,28326.0,181
18201,26561.0,28745.0,182
18301,26561.0,28876.0,183
18401,26561.0,28876.0,184
18501,26561.0,28931.0,185
18601,26561.0,28995.0,186
18701,26561.0,28864.0,187
18801,26561.0,28878.0,188
18901,26561.0,28324.0,189
19001,26561.0,28030.0,190
19101,26561.0,28030.0,191
19201,26561.0,28473.0,192
19301,26561.0,28617.0,193
19401,26561.0,28599.0,194
19501,26561.0,28577.0,195
19601,26561.0,28429.0,196
19701,26561.0,28437.0,197
19801,26561.0,28398.0,198
19901,26561.0,28398.0,199
20001,26561.0,28284.0,200
20101,26561.0,28416.0,201
20201,26561.0,28383.0,202
20301,26561.0,28099.0,203
20401,26561.0,28080.0,204
20501,26561.0,27984.0,205
20601,26561.0,28108.0,206
20701,26561.0,28339.0,207
20801,26561.0,28553.0,208
20901,26561.0,28553.0,209
21001,26561.0,28698.0,210
21101,26561.0,28528.0,211
21201,26561.0,28358.0,212
21301,26561.0,28358.0,213
21401,26561.0,28358.0,214
21501,26561.0,27915.0,215
21601,26561.0,27670.0,216
21701,26561.0,27670.0,217
21801,26561.0,27641.0,218
21901,26561.0,27426.0,219
22001,26561.0,27366.0,220
22101,26561.0,27112.0,221
22201,26561.0,26952.0,222
22301,26244.0,26244.0,223
22401,26244.0,26320.0,224
22501,26244.0,26264.0,225
22601,26244.0,26364.0,226
22701,26244.0,26364.0,227
22801,26244.0,26404.0,228
22901,26244.0,26809.0,229
23001,26244.0,26868.0,230
23101,26244.0,26928.0,231
23201,26244.0,27208.0,232
23301,26244.0,27181.0,233
23401,26244.0,27111.0,234
23501,26244.0,27111.0,235
23601,26244.0,27138.0,236
23701,26244.0,27199.0,237
23801,26244.0,27199.0,238
23901,26244.0,27244.0,239
24001,26244.0,27243.0,240
24101,26244.0,27121.0,241
24201,26244.0,27029.0,242
24301,26244.0,26842.0,243
24401,26244.0,26693.0,244
