experiment_name,run_id,algorithm,domain,instance,seed,status,stop_reason,initial_objective,best_objective,final_objective,runtime_seconds,objective_evaluations,iterations,parameters,error_message
tsp_st70_particle_swarm,particle_swarm_run_001,particle_swarm,tsp,st70,1000,completed,evaluation_budget_exhausted,3280.0,1871.0,1871.0,3.0233196999997745,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_st70_particle_swarm,particle_swarm_run_002,particle_swarm,tsp,st70,1001,completed,evaluation_budget_exhausted,3196.0,1944.0,1944.0,2.8793659999992087,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_st70_particle_swarm,particle_swarm_run_003,particle_swarm,tsp,st70,1002,completed,evaluation_budget_exhausted,3109.0,1738.0,1738.0,2.8754126999992877,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_st70_particle_swarm,particle_swarm_run_004,particle_swarm,tsp,st70,1003,completed,evaluation_budget_exhausted,3068.0,1771.0,1771.0,3.1205746000014187,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_st70_particle_swarm,particle_swarm_run_005,particle_swarm,tsp,st70,1004,completed,evaluation_budget_exhausted,3101.0,1935.0,1935.0,3.054077699998743,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_st70_particle_swarm,particle_swarm_run_006,particle_swarm,tsp,st70,1005,completed,evaluation_budget_exhausted,3167.0,1818.0,1818.0,3.3454323999994813,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_st70_particle_swarm,particle_swarm_run_007,particle_swarm,tsp,st70,1006,completed,evaluation_budget_exhausted,3084.0,1713.0,1713.0,3.1432343999986188,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_st70_particle_swarm,particle_swarm_run_008,particle_swarm,tsp,st70,1007,completed,evaluation_budget_exhausted,2978.0,1705.0,1705.0,3.3539297000006627,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_st70_particle_swarm,particle_swarm_run_009,particle_swarm,tsp,st70,1008,completed,evaluation_budget_exhausted,3195.0,2028.0,2028.0,3.2096270000001823,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_st70_particle_swarm,particle_swarm_run_010,particle_swarm,tsp,st70,1009,completed,evaluation_budget_exhausted,3133.0,1950.0,1950.0,2.967212700001255,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
