objective_evaluations,best_objective,current_objective,iteration
100,41462.0,41462.0,0
200,40444.0,40444.0,1
300,40444.0,40444.0,2
400,40444.0,40444.0,3
500,40444.0,40444.0,4
600,40444.0,40444.0,5
700,40444.0,40444.0,6
800,40444.0,40444.0,7
900,40444.0,40444.0,8
1000,40444.0,40444.0,9
1100,40444.0,40444.0,10
1200,40444.0,40444.0,11
1300,40444.0,40444.0,12
1400,38917.0,38917.0,13
1500,38917.0,38917.0,14
1600,38917.0,38917.0,15
1700,38917.0,38917.0,16
1800,38917.0,38917.0,17
1900,38917.0,38917.0,18
2000,36782.0,36782.0,19
2100,36782.0,36782.0,20
2200,36782.0,36782.0,21
2300,36782.0,36782.0,22
2400,36782.0,36782.0,23
2500,36782.0,36782.0,24
2600,36782.0,36782.0,25
2700,36782.0,36782.0,26
2800,36782.0,36782.0,27
2900,35976.0,35976.0,28
3000,35976.0,35976.0,29
3100,35976.0,35976.0,30
3200,35976.0,35976.0,31
3300,35976.0,35976.0,32
3400,35976.0,35976.0,33
3500,35976.0,35976.0,34
3600,35976.0,35976.0,35
3700,35976.0,35976.0,36
3800,35976.0,35976.0,37
3900,35976.0,35976.0,38
4000,35976.0,35976.0,39
4100,35575.0,35575.0,40
4200,35575.0,35575.0,41
4300,35575.0,35575.0,42
4400,35575.0,35575.0,43
4500,34686.0,34686.0,44
4600,34686.0,34686.0,45
4700,34686.0,34686.0,46
4800,34686.0,34686.0,47
4900,34686.0,34686.0,48
5000,34686.0,34686.0,49
5100,34686.0,34686.0,50
5200,34686.0,34686.0,51
5300,34686.0,34686.0,52
5400,34686.0,34686.0,53
5500,34686.0,34686.0,54
5600,34686.0,34686.0,55
5700,34686.0,34686.0,56
5800,34686.0,34686.0,57
5900,34686.0,34686.0,58
6000,34116.0,34116.0,59
6100,34016.0,34016.0,60
6200,34016.0,34016.0,61
6300,33477.0,33477.0,62
6400,33477.0,33477.0,63
6500,33477.0,33477.0,64
6600,33477.0,33477.0,65
6700,33477.0,33477.0,66
6800,33477.0,33477.0,67
6900,33477.0,33477.0,68
7000,33477.0,33477.0,69
7100,33477.0,33477.0,70
7200,33477.0,33477.0,71
7300,33477.0,33477.0,72
7400,33477.0,33477.0,73
7500,33477.0,33477.0,74
