objective_evaluations,best_objective,current_objective,iteration
100,21012.0,21012.0,0
200,16687.0,16687.0,1
300,15111.0,15111.0,2
400,13549.0,13549.0,3
500,12665.0,12665.0,4
600,11591.0,11591.0,5
700,11099.0,11099.0,6
800,10432.0,10432.0,7
900,9973.0,9973.0,8
1000,9670.0,9670.0,9
1100,9610.0,9610.0,10
1200,9309.0,9309.0,11
1300,9309.0,9309.0,12
1400,9055.0,9055.0,13
1500,9055.0,9055.0,14
1600,9032.0,9032.0,15
1700,8779.0,8779.0,16
1800,8709.0,8709.0,17
1900,8482.0,8482.0,18
2000,8482.0,8482.0,19
2100,8482.0,8482.0,20
2200,8476.0,8476.0,21
2300,8475.0,8475.0,22
2400,8464.0,8464.0,23
2500,8462.0,8462.0,24
2600,8462.0,8462.0,25
2700,8462.0,8462.0,26
2800,8433.0,8433.0,27
2900,8310.0,8310.0,28
3000,8280.0,8280.0,29
3100,8280.0,8280.0,30
3200,8280.0,8280.0,31
3300,8280.0,8280.0,32
3400,8280.0,8280.0,33
3500,8280.0,8280.0,34
3600,8280.0,8280.0,35
3700,8226.0,8226.0,36
3800,8177.0,8177.0,37
3900,7995.0,7995.0,38
4000,7993.0,7993.0,39
4100,7993.0,7993.0,40
4200,7993.0,7993.0,41
4300,7993.0,7993.0,42
4400,7892.0,7892.0,43
4500,7890.0,7890.0,44
4600,7890.0,7890.0,45
4700,7852.0,7852.0,46
4800,7852.0,7852.0,47
4900,7852.0,7852.0,48
5000,7852.0,7852.0,49
5100,7837.0,7837.0,50
5200,7831.0,7831.0,51
5300,7831.0,7831.0,52
5400,7831.0,7831.0,53
5500,7831.0,7831.0,54
5600,7831.0,7831.0,55
5700,7831.0,7831.0,56
5800,7831.0,7831.0,57
5900,7831.0,7831.0,58
6000,7831.0,7831.0,59
6100,7831.0,7831.0,60
6200,7831.0,7831.0,61
6300,7831.0,7831.0,62
6400,7831.0,7831.0,63
6500,7831.0,7831.0,64
6600,7831.0,7831.0,65
6700,7831.0,7831.0,66
6800,7831.0,7831.0,67
6900,7831.0,7831.0,68
7000,7831.0,7831.0,69
7100,7831.0,7831.0,70
7200,7831.0,7831.0,71
7300,7831.0,7831.0,72
7400,7831.0,7831.0,73
7500,7831.0,7831.0,74
7600,7831.0,7831.0,75
7700,7831.0,7831.0,76
7800,7831.0,7831.0,77
7900,7831.0,7831.0,78
8000,7831.0,7831.0,79
8100,7831.0,7831.0,80
8200,7831.0,7831.0,81
8300,7831.0,7831.0,82
8400,7831.0,7831.0,83
8500,7831.0,7831.0,84
8600,7831.0,7831.0,85
8700,7831.0,7831.0,86
8800,7831.0,7831.0,87
8900,7831.0,7831.0,88
9000,7831.0,7831.0,89
9100,7831.0,7831.0,90
9200,7831.0,7831.0,91
9300,7831.0,7831.0,92
9400,7831.0,7831.0,93
9500,7831.0,7831.0,94
9600,7831.0,7831.0,95
9700,7831.0,7831.0,96
9800,7831.0,7831.0,97
9900,7831.0,7831.0,98
10000,7831.0,7831.0,99
10100,7831.0,7831.0,100
10200,7831.0,7831.0,101
10300,7831.0,7831.0,102
10400,7831.0,7831.0,103
10500,7831.0,7831.0,104
10600,7831.0,7831.0,105
10700,7831.0,7831.0,106
10800,7831.0,7831.0,107
10900,7831.0,7831.0,108
11000,7831.0,7831.0,109
