objective_evaluations,best_objective,current_objective,iteration
40,1495.0,1495.0,0
80,1495.0,1495.0,1
120,1429.0,1429.0,2
160,1429.0,1429.0,3
200,1409.0,1409.0,4
240,1409.0,1409.0,5
280,1409.0,1409.0,6
320,1409.0,1409.0,7
360,1409.0,1409.0,8
400,1326.0,1326.0,9
440,1326.0,1326.0,10
480,1326.0,1326.0,11
520,1326.0,1326.0,12
560,1310.0,1310.0,13
600,1310.0,1310.0,14
640,1310.0,1310.0,15
680,1310.0,1310.0,16
720,1310.0,1310.0,17
760,1310.0,1310.0,18
800,1310.0,1310.0,19
840,1310.0,1310.0,20
880,1310.0,1310.0,21
920,1310.0,1310.0,22
960,1310.0,1310.0,23
1000,1310.0,1310.0,24
1040,1295.0,1295.0,25
1080,1295.0,1295.0,26
1120,1295.0,1295.0,27
1160,1295.0,1295.0,28
1200,1295.0,1295.0,29
1240,1230.0,1230.0,30
1280,1230.0,1230.0,31
1320,1230.0,1230.0,32
1360,1230.0,1230.0,33
1400,1230.0,1230.0,34
1440,1230.0,1230.0,35
1480,1230.0,1230.0,36
1520,1230.0,1230.0,37
1560,1230.0,1230.0,38
1600,1230.0,1230.0,39
1640,1230.0,1230.0,40
1680,1215.0,1215.0,41
1720,1215.0,1215.0,42
1760,1215.0,1215.0,43
1800,1203.0,1203.0,44
1840,1203.0,1203.0,45
1880,1203.0,1203.0,46
1920,1203.0,1203.0,47
1960,1203.0,1203.0,48
2000,1203.0,1203.0,49
2040,1203.0,1203.0,50
2080,1169.0,1169.0,51
2120,1169.0,1169.0,52
2160,1169.0,1169.0,53
2200,1169.0,1169.0,54
2240,1169.0,1169.0,55
2280,1169.0,1169.0,56
2320,1169.0,1169.0,57
2360,1169.0,1169.0,58
2400,1169.0,1169.0,59
2440,1169.0,1169.0,60
2480,1169.0,1169.0,61
2520,1169.0,1169.0,62
2560,1169.0,1169.0,63
2600,1169.0,1169.0,64
2640,1169.0,1169.0,65
2680,1169.0,1169.0,66
2720,1165.0,1165.0,67
2760,1165.0,1165.0,68
