experiment_name,run_id,algorithm,domain,instance,seed,status,stop_reason,initial_objective,best_objective,final_objective,runtime_seconds,objective_evaluations,iterations,parameters,error_message
jsp_ta01_particle_swarm,particle_swarm_run_001,particle_swarm,scheduling,ta01,2000,completed,evaluation_budget_exhausted,2003.0,1486.0,1486.0,23.838269200001378,50000,1249,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""swap"", ""insertion"", ""inversion""], ""social_coefficient"": 1.8, ""swarm_size"": 40}",
jsp_ta01_particle_swarm,particle_swarm_run_002,particle_swarm,scheduling,ta01,2001,completed,evaluation_budget_exhausted,2054.0,1424.0,1424.0,24.73374700000022,50000,1249,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""swap"", ""insertion"", ""inversion""], ""social_coefficient"": 1.8, ""swarm_size"": 40}",
jsp_ta01_particle_swarm,particle_swarm_run_003,particle_swarm,scheduling,ta01,2002,completed,evaluation_budget_exhausted,2013.0,1419.0,1419.0,24.865499100000306,50000,1249,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""swap"", ""insertion"", ""inversion""], ""social_coefficient"": 1.8, ""swarm_size"": 40}",
jsp_ta01_particle_swarm,particle_swarm_run_004,particle_swarm,scheduling,ta01,2003,completed,evaluation_budget_exhausted,2094.0,1460.0,1460.0,24.643439400000716,50000,1249,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""swap"", ""insertion"", ""inversion""], ""social_coefficient"": 1.8, ""swarm_size"": 40}",
jsp_ta01_particle_swarm,particle_swarm_run_005,particle_swarm,scheduling,ta01,2004,completed,evaluation_budget_exhausted,1998.0,1434.0,1434.0,24.620304000000033,50000,1249,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""swap"", ""insertion"", ""inversion""], ""social_coefficient"": 1.8, ""swarm_size"": 40}",
jsp_ta01_particle_swarm,particle_swarm_run_006,particle_swarm,scheduling,ta01,2005,completed,evaluation_budget_exhausted,2197.0,1447.0,1447.0,24.926867399999537,50000,1249,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""swap"", ""insertion"", ""inversion""], ""social_coefficient"": 1.8, ""swarm_size"": 40}",
jsp_ta01_particle_swarm,particle_swarm_run_007,particle_swarm,scheduling,ta01,2006,completed,evaluation_budget_exhausted,2139.0,1425.0,1425.0,24.801080099998217,50000,1249,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""swap"", ""insertion"", ""inversion""], ""social_coefficient"": 1.8, ""swarm_size"": 40}",
jsp_ta01_particle_swarm,particle_swarm_run_008,particle_swarm,scheduling,ta01,2007,completed,evaluation_budget_exhausted,2016.0,1403.0,1403.0,24.39734429999953,50000,1249,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""swap"", ""insertion"", ""inversion""], ""social_coefficient"": 1.8, ""swarm_size"": 40}",
jsp_ta01_particle_swarm,particle_swarm_run_009,particle_swarm,scheduling,ta01,2008,completed,evaluation_budget_exhausted,2080.0,1437.0,1437.0,24.42348420000053,50000,1249,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""swap"", ""insertion"", ""inversion""], ""social_coefficient"": 1.8, ""swarm_size"": 40}",
jsp_ta01_particle_swarm,particle_swarm_run_010,particle_swarm,scheduling,ta01,2009,completed,evaluation_budget_exhausted,2037.0,1453.0,1453.0,24.630000900000596,50000,1249,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""swap"", ""insertion"", ""inversion""], ""social_coefficient"": 1.8, ""swarm_size"": 40}",
jsp_ta01_particle_swarm,particle_swarm_run_011,particle_swarm,scheduling,ta01,2010,completed,evaluation_budget_exhausted,2067.0,1541.0,1541.0,26.06312590000016,50000,1249,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""swap"", ""insertion"", ""inversion""], ""social_coefficient"": 1.8, ""swarm_size"": 40}",
jsp_ta01_particle_swarm,particle_swarm_run_012,particle_swarm,scheduling,ta01,2011,completed,evaluation_budget_exhausted,2054.0,1568.0,1568.0,24.661010899999383,50000,1249,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""swap"", ""insertion"", ""inversion""], ""social_coefficient"": 1.8, ""swarm_size"": 40}",
jsp_ta01_particle_swarm,particle_swarm_run_013,particle_swarm,scheduling,ta01,2012,completed,evaluation_budget_exhausted,2087.0,1520.0,1520.0,24.497391400000197,50000,1249,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""swap"", ""insertion"", ""inversion""], ""social_coefficient"": 1.8, ""swarm_size"": 40}",
jsp_ta01_particle_swarm,particle_swarm_run_014,particle_swarm,scheduling,ta01,2013,completed,evaluation_budget_exhausted,2136.0,1510.0,1510.0,24.5572360999995,50000,1249,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""swap"", ""insertion"", ""inversion""], ""social_coefficient"": 1.8, ""swarm_size"": 40}",
jsp_ta01_particle_swarm,particle_swarm_run_015,particle_swarm,scheduling,ta01,2014,completed,evaluation_budget_exhausted,1910.0,1465.0,1465.0,24.655378100000235,50000,1249,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""swap"", ""insertion"", ""inversion""], ""social_coefficient"": 1.8, ""swarm_size"": 40}",
jsp_ta01_particle_swarm,particle_swarm_run_016,particle_swarm,scheduling,ta01,2015,completed,evaluation_budget_exhausted,1904.0,1502.0,1502.0,24.653574500000104,50000,1249,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""swap"", ""insertion"", ""inversion""], ""social_coefficient"": 1.8, ""swarm_size"": 40}",
jsp_ta01_particle_swarm,particle_swarm_run_017,particle_swarm,scheduling,ta01,2016,completed,evaluation_budget_exhausted,2108.0,1457.0,1457.0,24.539155299999038,50000,1249,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""swap"", ""insertion"", ""inversion""], ""social_coefficient"": 1.8, ""swarm_size"": 40}",
jsp_ta01_particle_swarm,particle_swarm_run_018,particle_swarm,scheduling,ta01,2017,completed,evaluation_budget_exhausted,2009.0,1451.0,1451.0,24.919905699998708,50000,1249,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""swap"", ""insertion"", ""inversion""], ""social_coefficient"": 1.8, ""swarm_size"": 40}",
jsp_ta01_particle_swarm,particle_swarm_run_019,particle_swarm,scheduling,ta01,2018,completed,evaluation_budget_exhausted,2007.0,1367.0,1367.0,24.46415679999882,50000,1249,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""swap"", ""insertion"", ""inversion""], ""social_coefficient"": 1.8, ""swarm_size"": 40}",
jsp_ta01_particle_swarm,particle_swarm_run_020,particle_swarm,scheduling,ta01,2019,completed,evaluation_budget_exhausted,2121.0,1443.0,1443.0,24.5673996000005,50000,1249,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""swap"", ""insertion"", ""inversion""], ""social_coefficient"": 1.8, ""swarm_size"": 40}",
jsp_ta01_particle_swarm,particle_swarm_run_021,particle_swarm,scheduling,ta01,2020,completed,evaluation_budget_exhausted,2034.0,1543.0,1543.0,24.438543899999786,50000,1249,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""swap"", ""insertion"", ""inversion""], ""social_coefficient"": 1.8, ""swarm_size"": 40}",
jsp_ta01_particle_swarm,particle_swarm_run_022,particle_swarm,scheduling,ta01,2021,completed,evaluation_budget_exhausted,2056.0,1576.0,1576.0,24.698900800000047,50000,1249,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""swap"", ""insertion"", ""inversion""], ""social_coefficient"": 1.8, ""swarm_size"": 40}",
