objective_evaluations,best_objective,current_objective,iteration
40,3131.0,3131.0,0
80,3131.0,3131.0,1
120,3131.0,3131.0,2
160,3131.0,3131.0,3
200,3131.0,3131.0,4
240,3131.0,3131.0,5
280,3131.0,3131.0,6
320,3131.0,3131.0,7
360,3131.0,3131.0,8
400,3131.0,3131.0,9
440,3131.0,3131.0,10
480,3131.0,3131.0,11
520,3131.0,3131.0,12
560,3131.0,3131.0,13
600,3038.0,3038.0,14
640,3038.0,3038.0,15
680,3026.0,3026.0,16
720,3026.0,3026.0,17
760,3026.0,3026.0,18
800,2992.0,2992.0,19
840,2992.0,2992.0,20
880,2992.0,2992.0,21
920,2992.0,2992.0,22
960,2904.0,2904.0,23
1000,2904.0,2904.0,24
1040,2904.0,2904.0,25
1080,2904.0,2904.0,26
1120,2904.0,2904.0,27
1160,2904.0,2904.0,28
1200,2904.0,2904.0,29
1240,2904.0,2904.0,30
1280,2904.0,2904.0,31
1320,2904.0,2904.0,32
1360,2904.0,2904.0,33
1400,2889.0,2889.0,34
1440,2889.0,2889.0,35
1480,2889.0,2889.0,36
1520,2889.0,2889.0,37
1560,2889.0,2889.0,38
1600,2889.0,2889.0,39
1640,2889.0,2889.0,40
1680,2889.0,2889.0,41
1720,2889.0,2889.0,42
1760,2889.0,2889.0,43
1800,2889.0,2889.0,44
1840,2889.0,2889.0,45
1880,2889.0,2889.0,46
1920,2816.0,2816.0,47
1960,2816.0,2816.0,48
2000,2816.0,2816.0,49
2040,2781.0,2781.0,50
2080,2781.0,2781.0,51
2120,2781.0,2781.0,52
2160,2781.0,2781.0,53
2200,2781.0,2781.0,54
2240,2781.0,2781.0,55
2280,2781.0,2781.0,56
2320,2781.0,2781.0,57
2360,2781.0,2781.0,58
2400,2781.0,2781.0,59
2440,2781.0,2781.0,60
2480,2781.0,2781.0,61
2520,2781.0,2781.0,62
2560,2781.0,2781.0,63
2600,2781.0,2781.0,64
2640,2781.0,2781.0,65
2680,2781.0,2781.0,66
2720,2781.0,2781.0,67
2760,2781.0,2781.0,68
2800,2781.0,2781.0,69
2840,2781.0,2781.0,70
2880,2781.0,2781.0,71
2920,2781.0,2781.0,72
2960,2781.0,2781.0,73
3000,2781.0,2781.0,74
3040,2781.0,2781.0,75
3080,2781.0,2781.0,76
3120,2781.0,2781.0,77
3160,2781.0,2781.0,78
3200,2781.0,2781.0,79
3240,2781.0,2781.0,80
3280,2781.0,2781.0,81
3320,2781.0,2781.0,82
3360,2781.0,2781.0,83
3400,2781.0,2781.0,84
3440,2781.0,2781.0,85
3480,2781.0,2781.0,86
3520,2781.0,2781.0,87
3560,2781.0,2781.0,88
3600,2781.0,2781.0,89
3640,2781.0,2781.0,90
3680,2781.0,2781.0,91
3720,2781.0,2781.0,92
3760,2781.0,2781.0,93
3800,2772.0,2772.0,94
3840,2772.0,2772.0,95
3880,2772.0,2772.0,96
3920,2772.0,2772.0,97
3960,2772.0,2772.0,98
4000,2772.0,2772.0,99
4040,2772.0,2772.0,100
4080,2772.0,2772.0,101
4120,2772.0,2772.0,102
4160,2772.0,2772.0,103
4200,2772.0,2772.0,104
4240,2772.0,2772.0,105
4280,2772.0,2772.0,106
4320,2772.0,2772.0,107
4360,2772.0,2772.0,108
4400,2772.0,2772.0,109
4440,2772.0,2772.0,110
4480,2772.0,2772.0,111
4520,2772.0,2772.0,112
4560,2772.0,2772.0,113
4600,2772.0,2772.0,114
4640,2772.0,2772.0,115
4680,2772.0,2772.0,116
4720,2772.0,2772.0,117
4760,2727.0,2727.0,118
4800,2727.0,2727.0,119
4840,2727.0,2727.0,120
4880,2727.0,2727.0,121
4920,2727.0,2727.0,122
4960,2727.0,2727.0,123
5000,2727.0,2727.0,124
5040,2727.0,2727.0,125
5080,2727.0,2727.0,126
5120,2727.0,2727.0,127
5160,2704.0,2704.0,128
5200,2704.0,2704.0,129
5240,2704.0,2704.0,130
5280,2704.0,2704.0,131
5320,2704.0,2704.0,132
5360,2704.0,2704.0,133
5400,2704.0,2704.0,134
5440,2704.0,2704.0,135
5480,2704.0,2704.0,136
5520,2704.0,2704.0,137
5560,2704.0,2704.0,138
5600,2704.0,2704.0,139
5640,2704.0,2704.0,140
5680,2704.0,2704.0,141
5720,2704.0,2704.0,142
5760,2704.0,2704.0,143
5800,2704.0,2704.0,144
5840,2704.0,2704.0,145
5880,2704.0,2704.0,146
5920,2704.0,2704.0,147
5960,2704.0,2704.0,148
6000,2704.0,2704.0,149
6040,2704.0,2704.0,150
6080,2704.0,2704.0,151
6120,2704.0,2704.0,152
6160,2704.0,2704.0,153
6200,2704.0,2704.0,154
6240,2703.0,2703.0,155
6280,2703.0,2703.0,156
6320,2703.0,2703.0,157
6360,2703.0,2703.0,158
6400,2703.0,2703.0,159
6440,2703.0,2703.0,160
6480,2703.0,2703.0,161
6520,2703.0,2703.0,162
6560,2703.0,2703.0,163
6600,2703.0,2703.0,164
6640,2703.0,2703.0,165
6680,2703.0,2703.0,166
6720,2703.0,2703.0,167
6760,2703.0,2703.0,168
6800,2703.0,2703.0,169
6840,2703.0,2703.0,170
6880,2703.0,2703.0,171
6920,2703.0,2703.0,172
6960,2703.0,2703.0,173
7000,2703.0,2703.0,174
7040,2703.0,2703.0,175
7080,2703.0,2703.0,176
7120,2703.0,2703.0,177
7160,2703.0,2703.0,178
7200,2703.0,2703.0,179
7240,2703.0,2703.0,180
7280,2703.0,2703.0,181
7320,2703.0,2703.0,182
7360,2703.0,2703.0,183
7400,2703.0,2703.0,184
7440,2703.0,2703.0,185
7480,2703.0,2703.0,186
7520,2703.0,2703.0,187
7560,2703.0,2703.0,188
7600,2703.0,2703.0,189
7640,2703.0,2703.0,190
7680,2694.0,2694.0,191
7720,2694.0,2694.0,192
7760,2694.0,2694.0,193
7800,2694.0,2694.0,194
7840,2694.0,2694.0,195
7880,2694.0,2694.0,196
7920,2694.0,2694.0,197
7960,2694.0,2694.0,198
8000,2694.0,2694.0,199
8040,2694.0,2694.0,200
8080,2694.0,2694.0,201
8120,2694.0,2694.0,202
8160,2694.0,2694.0,203
8200,2694.0,2694.0,204
8240,2694.0,2694.0,205
8280,2694.0,2694.0,206
8320,2694.0,2694.0,207
8360,2694.0,2694.0,208
8400,2694.0,2694.0,209
8440,2694.0,2694.0,210
8480,2694.0,2694.0,211
8520,2694.0,2694.0,212
8560,2694.0,2694.0,213
8600,2694.0,2694.0,214
8640,2693.0,2693.0,215
8680,2693.0,2693.0,216
8720,2683.0,2683.0,217
8760,2683.0,2683.0,218
8800,2640.0,2640.0,219
8840,2640.0,2640.0,220
8880,2640.0,2640.0,221
8920,2640.0,2640.0,222
8960,2640.0,2640.0,223
9000,2640.0,2640.0,224
9040,2640.0,2640.0,225
9080,2640.0,2640.0,226
9120,2640.0,2640.0,227
9160,2640.0,2640.0,228
9200,2640.0,2640.0,229
9240,2640.0,2640.0,230
9280,2640.0,2640.0,231
9320,2640.0,2640.0,232
9360,2640.0,2640.0,233
9400,2640.0,2640.0,234
9440,2640.0,2640.0,235
9480,2614.0,2614.0,236
9520,2614.0,2614.0,237
9560,2614.0,2614.0,238
9600,2614.0,2614.0,239
9640,2614.0,2614.0,240
9680,2614.0,2614.0,241
9720,2604.0,2604.0,242
9760,2604.0,2604.0,243
9800,2604.0,2604.0,244
9840,2604.0,2604.0,245
9880,2604.0,2604.0,246
9920,2604.0,2604.0,247
9960,2604.0,2604.0,248
10000,2604.0,2604.0,249
10040,2604.0,2604.0,250
10080,2604.0,2604.0,251
10120,2604.0,2604.0,252
10160,2604.0,2604.0,253
10200,2604.0,2604.0,254
10240,2604.0,2604.0,255
10280,2604.0,2604.0,256
10320,2604.0,2604.0,257
10360,2604.0,2604.0,258
10400,2604.0,2604.0,259
10440,2604.0,2604.0,260
10480,2604.0,2604.0,261
10520,2604.0,2604.0,262
10560,2604.0,2604.0,263
10600,2604.0,2604.0,264
10640,2604.0,2604.0,265
10680,2604.0,2604.0,266
10720,2604.0,2604.0,267
10760,2604.0,2604.0,268
10800,2604.0,2604.0,269
10840,2604.0,2604.0,270
10880,2604.0,2604.0,271
10920,2604.0,2604.0,272
10960,2604.0,2604.0,273
11000,2604.0,2604.0,274
11040,2604.0,2604.0,275
11080,2604.0,2604.0,276
11120,2604.0,2604.0,277
11160,2604.0,2604.0,278
11200,2592.0,2592.0,279
11240,2592.0,2592.0,280
11280,2592.0,2592.0,281
