run_id,algorithm,seed,run_index
particle_swarm_run_001,particle_swarm,2000,1
particle_swarm_run_002,particle_swarm,2001,2
particle_swarm_run_003,particle_swarm,2002,3
particle_swarm_run_004,particle_swarm,2003,4
particle_swarm_run_005,particle_swarm,2004,5
particle_swarm_run_006,particle_swarm,2005,6
particle_swarm_run_007,particle_swarm,2006,7
particle_swarm_run_008,particle_swarm,2007,8
particle_swarm_run_009,particle_swarm,2008,9
particle_swarm_run_010,particle_swarm,2009,10
particle_swarm_run_011,particle_swarm,2010,11
particle_swarm_run_012,particle_swarm,2011,12
particle_swarm_run_013,particle_swarm,2012,13
particle_swarm_run_014,particle_swarm,2013,14
particle_swarm_run_015,particle_swarm,2014,15
particle_swarm_run_016,particle_swarm,2015,16
particle_swarm_run_017,particle_swarm,2016,17
particle_swarm_run_018,particle_swarm,2017,18
particle_swarm_run_019,particle_swarm,2018,19
particle_swarm_run_020,particle_swarm,2019,20
particle_swarm_run_021,particle_swarm,2020,21
particle_swarm_run_022,particle_swarm,2021,22
particle_swarm_run_023,particle_swarm,2022,23
particle_swarm_run_024,particle_swarm,2023,24
particle_swarm_run_025,particle_swarm,2024,25
particle_swarm_run_026,particle_swarm,2025,26
particle_swarm_run_027,particle_swarm,2026,27
particle_swarm_run_028,particle_swarm,2027,28
particle_swarm_run_029,particle_swarm,2028,29
particle_swarm_run_030,particle_swarm,2029,30
