objective_evaluations,best_objective,current_objective,iteration
1,80069.0,80069.0,0
41,79043.0,79043.0,1
81,77951.0,77951.0,2
121,77043.0,77043.0,3
161,76111.0,76111.0,4
201,75526.0,75526.0,5
241,75092.0,75092.0,6
281,74474.0,74474.0,7
321,73742.0,73742.0,8
361,73316.0,73316.0,9
401,72720.0,72720.0,10
441,72390.0,72390.0,11
481,72110.0,72110.0,12
521,71738.0,71738.0,13
561,71197.0,71197.0,14
601,70933.0,70933.0,15
641,70705.0,70705.0,16
681,70321.0,70321.0,17
721,70050.0,70050.0,18
761,69862.0,69862.0,19
801,69545.0,69545.0,20
841,69097.0,69097.0,21
881,68929.0,68929.0,22
921,68675.0,68675.0,23
961,68453.0,68453.0,24
1001,68096.0,68096.0,25
1041,67778.0,67778.0,26
1081,67390.0,67390.0,27
1121,67232.0,67232.0,28
1161,66805.0,66805.0,29
1201,66548.0,66548.0,30
1241,65974.0,65974.0,31
1281,65794.0,65794.0,32
1321,65577.0,65577.0,33
1361,65395.0,65395.0,34
1401,65145.0,65145.0,35
1441,65015.0,65015.0,36
1481,64947.0,64947.0,37
1521,64696.0,64696.0,38
1561,64520.0,64520.0,39
1601,64161.0,64161.0,40
1641,63999.0,63999.0,41
1681,63764.0,63764.0,42
1721,63581.0,63581.0,43
1761,63057.0,63057.0,44
1801,62779.0,62779.0,45
1841,62670.0,62670.0,46
1881,62567.0,62567.0,47
1921,62323.0,62323.0,48
1961,62057.0,62057.0,49
2001,61775.0,61775.0,50
2041,61648.0,61648.0,51
2081,61336.0,61336.0,52
2121,61139.0,61139.0,53
2161,61116.0,61116.0,54
2201,61056.0,61056.0,55
2241,61011.0,61011.0,56
2281,60854.0,60854.0,57
2321,60767.0,60767.0,58
2361,60718.0,60718.0,59
2401,60380.0,60380.0,60
2441,60302.0,60302.0,61
2481,60032.0,60032.0,62
2521,59929.0,59929.0,63
2561,59651.0,59651.0,64
2601,59610.0,59610.0,65
2641,59373.0,59373.0,66
2681,59155.0,59155.0,67
2721,58699.0,58699.0,68
2761,58461.0,58461.0,69
2801,58302.0,58302.0,70
2841,58130.0,58130.0,71
2881,58015.0,58015.0,72
2921,58002.0,58002.0,73
2961,57988.0,57988.0,74
3001,57792.0,57792.0,75
3041,57654.0,57654.0,76
3081,57361.0,57361.0,77
3121,57083.0,57083.0,78
3161,57083.0,57083.0,79
3201,56849.0,56849.0,80
3241,56583.0,56583.0,81
3281,56503.0,56503.0,82
3321,56235.0,56235.0,83
3361,56202.0,56202.0,84
3401,56085.0,56085.0,85
3441,55736.0,55736.0,86
3481,55529.0,55529.0,87
3521,55428.0,55428.0,88
3561,55309.0,55309.0,89
3601,55203.0,55203.0,90
3641,55128.0,55128.0,91
3681,55107.0,55107.0,92
3721,55022.0,55022.0,93
3761,55022.0,55022.0,94
3801,54968.0,54968.0,95
3841,54905.0,54905.0,96
3881,54904.0,54904.0,97
3921,54800.0,54800.0,98
3961,54610.0,54610.0,99
4001,54459.0,54459.0,100
4041,54198.0,54198.0,101
4081,54107.0,54107.0,102
4121,54054.0,54054.0,103
4161,53895.0,53895.0,104
4201,53656.0,53656.0,105
4241,53623.0,53623.0,106
4281,53567.0,53567.0,107
4321,53435.0,53435.0,108
4361,53144.0,53144.0,109
4401,53028.0,53028.0,110
4441,53003.0,53003.0,111
4481,52828.0,52828.0,112
4521,52794.0,52794.0,113
4561,52690.0,52690.0,114
4601,52678.0,52678.0,115
4641,52610.0,52610.0,116
4681,52403.0,52403.0,117
4721,52067.0,52067.0,118
4761,51973.0,51973.0,119
4801,51973.0,51973.0,120
4841,51835.0,51835.0,121
4881,51774.0,51774.0,122
4921,51707.0,51707.0,123
4961,51695.0,51695.0,124
5001,51613.0,51613.0,125
5041,51287.0,51287.0,126
5081,51240.0,51240.0,127
5121,51213.0,51213.0,128
5161,50953.0,50953.0,129
5201,50783.0,50783.0,130
5241,50684.0,50684.0,131
5281,50584.0,50584.0,132
5321,50421.0,50421.0,133
5361,50022.0,50022.0,134
5401,49832.0,49832.0,135
5441,49602.0,49602.0,136
5481,49507.0,49507.0,137
5521,49438.0,49438.0,138
5561,49348.0,49348.0,139
5601,49332.0,49332.0,140
5641,49308.0,49308.0,141
5681,49124.0,49124.0,142
5721,49015.0,49015.0,143
5761,49015.0,49015.0,144
5801,49011.0,49011.0,145
5841,48951.0,48951.0,146
5881,48874.0,48874.0,147
5921,48850.0,48850.0,148
5961,48820.0,48820.0,149
6001,48700.0,48700.0,150
6041,48640.0,48640.0,151
6081,48610.0,48610.0,152
6121,48388.0,48388.0,153
6161,48363.0,48363.0,154
6201,48338.0,48338.0,155
6241,48253.0,48253.0,156
6281,48082.0,48082.0,157
6321,48011.0,48011.0,158
6361,47963.0,47963.0,159
6401,47778.0,47778.0,160
6441,47723.0,47723.0,161
6481,47718.0,47718.0,162
6521,47425.0,47425.0,163
6561,47383.0,47383.0,164
6601,47279.0,47279.0,165
6641,46899.0,46899.0,166
6681,46586.0,46586.0,167
6721,46425.0,46425.0,168
6761,46371.0,46371.0,169
6801,46371.0,46371.0,170
6841,46369.0,46369.0,171
6881,46345.0,46345.0,172
6921,46207.0,46207.0,173
6961,46158.0,46158.0,174
7001,46141.0,46141.0,175
7041,46043.0,46043.0,176
7081,45965.0,45965.0,177
7121,45894.0,45894.0,178
7161,45782.0,45782.0,179
7201,45624.0,45624.0,180
7241,45525.0,45525.0,181
7281,45383.0,45383.0,182
7321,45339.0,45339.0,183
7361,45108.0,45108.0,184
7401,44924.0,44924.0,185
7441,44840.0,44840.0,186
7481,44742.0,44742.0,187
7521,44704.0,44704.0,188
7561,44615.0,44615.0,189
7601,44501.0,44501.0,190
7641,44473.0,44473.0,191
7681,44379.0,44379.0,192
7721,44355.0,44355.0,193
7761,44334.0,44334.0,194
7801,44247.0,44247.0,195
7841,44195.0,44195.0,196
7881,44127.0,44127.0,197
7921,44015.0,44015.0,198
7961,43801.0,43801.0,199
8001,43772.0,43772.0,200
8041,43730.0,43730.0,201
8081,43726.0,43726.0,202
8121,43726.0,43726.0,203
8161,43660.0,43660.0,204
8201,43485.0,43485.0,205
8241,43457.0,43457.0,206
8281,43424.0,43424.0,207
8321,43152.0,43152.0,208
8361,43043.0,43043.0,209
8401,42930.0,42930.0,210
8441,42833.0,42833.0,211
8481,42830.0,42830.0,212
8521,42793.0,42793.0,213
8561,42403.0,42403.0,214
8601,42378.0,42378.0,215
