experiment_name,run_id,algorithm,domain,instance,seed,status,stop_reason,initial_objective,best_objective,final_objective,runtime_seconds,objective_evaluations,iterations,parameters,error_message
tsp_rat195_particle_swarm,particle_swarm_run_001,particle_swarm,tsp,rat195,1000,completed,evaluation_budget_exhausted,20696.0,7998.0,7998.0,7.004735599999549,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_rat195_particle_swarm,particle_swarm_run_002,particle_swarm,tsp,rat195,1001,completed,evaluation_budget_exhausted,20491.0,7988.0,7988.0,6.45814860000246,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_rat195_particle_swarm,particle_swarm_run_003,particle_swarm,tsp,rat195,1002,completed,evaluation_budget_exhausted,20618.0,8335.0,8335.0,6.932775200002652,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_rat195_particle_swarm,particle_swarm_run_004,particle_swarm,tsp,rat195,1003,completed,evaluation_budget_exhausted,20947.0,7761.0,7761.0,6.852005000000645,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_rat195_particle_swarm,particle_swarm_run_005,particle_swarm,tsp,rat195,1004,completed,evaluation_budget_exhausted,20375.0,8640.0,8640.0,6.739753100002417,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_rat195_particle_swarm,particle_swarm_run_006,particle_swarm,tsp,rat195,1005,completed,evaluation_budget_exhausted,20458.0,8031.0,8031.0,6.6152330999975675,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_rat195_particle_swarm,particle_swarm_run_007,particle_swarm,tsp,rat195,1006,completed,evaluation_budget_exhausted,20871.0,8532.0,8532.0,6.8792993999959435,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_rat195_particle_swarm,particle_swarm_run_008,particle_swarm,tsp,rat195,1007,completed,evaluation_budget_exhausted,20414.0,7898.0,7898.0,7.131266700002016,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_rat195_particle_swarm,particle_swarm_run_009,particle_swarm,tsp,rat195,1008,completed,evaluation_budget_exhausted,21284.0,7871.0,7871.0,7.297214799997164,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_rat195_particle_swarm,particle_swarm_run_010,particle_swarm,tsp,rat195,1009,completed,evaluation_budget_exhausted,20825.0,7944.0,7944.0,7.458242100001371,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_rat195_particle_swarm,particle_swarm_run_011,particle_swarm,tsp,rat195,1010,completed,evaluation_budget_exhausted,20448.0,8278.0,8278.0,7.215351000006194,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_rat195_particle_swarm,particle_swarm_run_012,particle_swarm,tsp,rat195,1011,completed,evaluation_budget_exhausted,21538.0,7683.0,7683.0,7.147275900002569,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
