experiment_name,run_id,algorithm,domain,instance,seed,status,stop_reason,initial_objective,best_objective,final_objective,runtime_seconds,objective_evaluations,iterations,parameters,error_message
tsp_ch130_particle_swarm,particle_swarm_run_001,particle_swarm,tsp,ch130,1000,completed,evaluation_budget_exhausted,7381.0,7037.0,7037.0,6.661694400012493,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_ch130_particle_swarm,particle_swarm_run_002,particle_swarm,tsp,ch130,1001,completed,evaluation_budget_exhausted,7533.0,7347.0,7347.0,6.324306599970441,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_ch130_particle_swarm,particle_swarm_run_003,particle_swarm,tsp,ch130,1002,completed,evaluation_budget_exhausted,7782.0,7672.0,7672.0,6.320862799999304,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_ch130_particle_swarm,particle_swarm_run_004,particle_swarm,tsp,ch130,1003,completed,evaluation_budget_exhausted,7509.0,7417.0,7417.0,6.492423499992583,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_ch130_particle_swarm,particle_swarm_run_005,particle_swarm,tsp,ch130,1004,completed,evaluation_budget_exhausted,7431.0,7195.0,7195.0,6.420410999970045,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_ch130_particle_swarm,particle_swarm_run_006,particle_swarm,tsp,ch130,1005,completed,evaluation_budget_exhausted,7509.0,7439.0,7439.0,6.297140900045633,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_ch130_particle_swarm,particle_swarm_run_007,particle_swarm,tsp,ch130,1006,completed,evaluation_budget_exhausted,8615.0,8501.0,8501.0,6.525258500012569,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_ch130_particle_swarm,particle_swarm_run_008,particle_swarm,tsp,ch130,1007,completed,evaluation_budget_exhausted,7342.0,7230.0,7230.0,6.551220700028352,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_ch130_particle_swarm,particle_swarm_run_009,particle_swarm,tsp,ch130,1008,completed,evaluation_budget_exhausted,7593.0,7393.0,7393.0,6.508495500020217,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_ch130_particle_swarm,particle_swarm_run_010,particle_swarm,tsp,ch130,1009,completed,evaluation_budget_exhausted,7129.0,6923.0,6923.0,6.492010399990249,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_ch130_particle_swarm,particle_swarm_run_011,particle_swarm,tsp,ch130,1010,completed,evaluation_budget_exhausted,7595.0,7470.0,7470.0,6.600213999976404,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_ch130_particle_swarm,particle_swarm_run_012,particle_swarm,tsp,ch130,1011,completed,evaluation_budget_exhausted,8081.0,7985.0,7985.0,6.375515099964105,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_ch130_particle_swarm,particle_swarm_run_013,particle_swarm,tsp,ch130,1012,completed,evaluation_budget_exhausted,7489.0,7321.0,7321.0,6.481325400003698,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_ch130_particle_swarm,particle_swarm_run_014,particle_swarm,tsp,ch130,1013,completed,evaluation_budget_exhausted,7580.0,7429.0,7429.0,6.521039099956397,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_ch130_particle_swarm,particle_swarm_run_015,particle_swarm,tsp,ch130,1014,completed,evaluation_budget_exhausted,7457.0,7109.0,7109.0,6.626479700033087,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_ch130_particle_swarm,particle_swarm_run_016,particle_swarm,tsp,ch130,1015,completed,evaluation_budget_exhausted,7228.0,7041.0,7041.0,6.430714500020258,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_ch130_particle_swarm,particle_swarm_run_017,particle_swarm,tsp,ch130,1016,completed,evaluation_budget_exhausted,7437.0,7334.0,7334.0,6.546495699963998,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_ch130_particle_swarm,particle_swarm_run_018,particle_swarm,tsp,ch130,1017,completed,evaluation_budget_exhausted,8104.0,7966.0,7966.0,6.939249599992763,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_ch130_particle_swarm,particle_swarm_run_019,particle_swarm,tsp,ch130,1018,completed,evaluation_budget_exhausted,7395.0,7186.0,7186.0,6.546821199997794,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_ch130_particle_swarm,particle_swarm_run_020,particle_swarm,tsp,ch130,1019,completed,evaluation_budget_exhausted,7896.0,7759.0,7759.0,5.845318400010001,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_ch130_particle_swarm,particle_swarm_run_021,particle_swarm,tsp,ch130,1020,completed,evaluation_budget_exhausted,7196.0,7028.0,7028.0,6.273193300003186,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_ch130_particle_swarm,particle_swarm_run_022,particle_swarm,tsp,ch130,1021,completed,evaluation_budget_exhausted,7779.0,7668.0,7668.0,6.363054600020405,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
