objective_evaluations,best_objective,current_objective,iteration
100,26462.0,26462.0,0
200,26462.0,26462.0,1
300,26462.0,26462.0,2
400,26462.0,26462.0,3
500,26462.0,26462.0,4
600,26462.0,26462.0,5
700,26462.0,26462.0,6
800,26462.0,26462.0,7
900,26462.0,26462.0,8
1000,26462.0,26462.0,9
1100,26462.0,26462.0,10
1200,26462.0,26462.0,11
1300,26462.0,26462.0,12
1400,26462.0,26462.0,13
1500,26462.0,26462.0,14
1600,26462.0,26462.0,15
1700,26462.0,26462.0,16
1800,26462.0,26462.0,17
1900,26462.0,26462.0,18
2000,26462.0,26462.0,19
2100,26462.0,26462.0,20
2200,26462.0,26462.0,21
2300,26462.0,26462.0,22
2400,26462.0,26462.0,23
2500,26462.0,26462.0,24
2600,26462.0,26462.0,25
2700,26462.0,26462.0,26
2800,26462.0,26462.0,27
2900,26462.0,26462.0,28
3000,26462.0,26462.0,29
3100,26462.0,26462.0,30
3200,26462.0,26462.0,31
3300,26462.0,26462.0,32
3400,26450.0,26450.0,33
3500,26450.0,26450.0,34
3600,26450.0,26450.0,35
3700,26450.0,26450.0,36
3800,26450.0,26450.0,37
3900,26450.0,26450.0,38
4000,26450.0,26450.0,39
4100,26450.0,26450.0,40
4200,26450.0,26450.0,41
4300,26450.0,26450.0,42
4400,26450.0,26450.0,43
4500,26450.0,26450.0,44
4600,26409.0,26409.0,45
4700,26409.0,26409.0,46
4800,26409.0,26409.0,47
4900,26409.0,26409.0,48
5000,26409.0,26409.0,49
5100,26409.0,26409.0,50
5200,26409.0,26409.0,51
5300,26409.0,26409.0,52
5400,26409.0,26409.0,53
5500,26409.0,26409.0,54
5600,26409.0,26409.0,55
5700,26409.0,26409.0,56
5800,26409.0,26409.0,57
5900,26409.0,26409.0,58
6000,26409.0,26409.0,59
6100,26409.0,26409.0,60
6200,26409.0,26409.0,61
6300,26409.0,26409.0,62
6400,26409.0,26409.0,63
6500,26409.0,26409.0,64
6600,26409.0,26409.0,65
6700,26409.0,26409.0,66
6800,26409.0,26409.0,67
6900,26409.0,26409.0,68
7000,26349.0,26349.0,69
7100,26049.0,26049.0,70
7200,25002.0,25002.0,71
7300,24709.0,24709.0,72
7400,24709.0,24709.0,73
7500,24709.0,24709.0,74
7600,24709.0,24709.0,75
7700,24697.0,24697.0,76
7800,24697.0,24697.0,77
7900,24697.0,24697.0,78
8000,24669.0,24669.0,79
8100,24669.0,24669.0,80
8200,24665.0,24665.0,81
8300,24665.0,24665.0,82
8400,24665.0,24665.0,83
8500,24665.0,24665.0,84
8600,24665.0,24665.0,85
8700,24665.0,24665.0,86
8800,24665.0,24665.0,87
8900,24484.0,24484.0,88
9000,24484.0,24484.0,89
9100,24484.0,24484.0,90
9200,24484.0,24484.0,91
9300,24484.0,24484.0,92
9400,24484.0,24484.0,93
9500,24484.0,24484.0,94
9600,24484.0,24484.0,95
9700,24484.0,24484.0,96
9800,24484.0,24484.0,97
9900,24484.0,24484.0,98
10000,24484.0,24484.0,99
10100,24484.0,24484.0,100
10200,24484.0,24484.0,101
10300,24484.0,24484.0,102
10400,24484.0,24484.0,103
10500,24484.0,24484.0,104
10600,24484.0,24484.0,105
10700,24484.0,24484.0,106
10800,24484.0,24484.0,107
10900,24484.0,24484.0,108
11000,24484.0,24484.0,109
11100,24484.0,24484.0,110
11200,24484.0,24484.0,111
11300,24484.0,24484.0,112
11400,24484.0,24484.0,113
