experiment_name,run_id,algorithm,domain,instance,seed,status,stop_reason,initial_objective,best_objective,final_objective,runtime_seconds,objective_evaluations,iterations,parameters,error_message
tsp_kroA100_particle_swarm,particle_swarm_run_001,particle_swarm,tsp,kroA100,1000,completed,evaluation_budget_exhausted,28566.0,27522.0,27522.0,5.389967700000852,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_kroA100_particle_swarm,particle_swarm_run_002,particle_swarm,tsp,kroA100,1001,completed,evaluation_budget_exhausted,27131.0,26717.0,26717.0,5.068662300007418,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_kroA100_particle_swarm,particle_swarm_run_003,particle_swarm,tsp,kroA100,1002,completed,evaluation_budget_exhausted,27212.0,26537.0,26537.0,5.101122399966698,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_kroA100_particle_swarm,particle_swarm_run_004,particle_swarm,tsp,kroA100,1003,completed,evaluation_budget_exhausted,26462.0,24162.0,24162.0,5.070616799988784,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_kroA100_particle_swarm,particle_swarm_run_005,particle_swarm,tsp,kroA100,1004,completed,evaluation_budget_exhausted,27233.0,26728.0,26728.0,5.181825899984688,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_kroA100_particle_swarm,particle_swarm_run_006,particle_swarm,tsp,kroA100,1005,completed,evaluation_budget_exhausted,25778.0,25216.0,25216.0,5.183402700000443,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_kroA100_particle_swarm,particle_swarm_run_007,particle_swarm,tsp,kroA100,1006,completed,evaluation_budget_exhausted,26955.0,26151.0,26151.0,5.001298299990594,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_kroA100_particle_swarm,particle_swarm_run_008,particle_swarm,tsp,kroA100,1007,completed,evaluation_budget_exhausted,26155.0,24737.0,24737.0,5.079870900022797,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_kroA100_particle_swarm,particle_swarm_run_009,particle_swarm,tsp,kroA100,1008,completed,evaluation_budget_exhausted,26478.0,23951.0,23951.0,5.271970900008455,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_kroA100_particle_swarm,particle_swarm_run_010,particle_swarm,tsp,kroA100,1009,completed,evaluation_budget_exhausted,26728.0,26416.0,26416.0,5.274640099960379,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_kroA100_particle_swarm,particle_swarm_run_011,particle_swarm,tsp,kroA100,1010,completed,evaluation_budget_exhausted,25760.0,24813.0,24813.0,5.058186099980958,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_kroA100_particle_swarm,particle_swarm_run_012,particle_swarm,tsp,kroA100,1011,completed,evaluation_budget_exhausted,27342.0,26741.0,26741.0,5.305503999989014,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_kroA100_particle_swarm,particle_swarm_run_013,particle_swarm,tsp,kroA100,1012,completed,evaluation_budget_exhausted,27757.0,27274.0,27274.0,5.255893299996387,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_kroA100_particle_swarm,particle_swarm_run_014,particle_swarm,tsp,kroA100,1013,completed,evaluation_budget_exhausted,27212.0,26474.0,26474.0,5.202169600001071,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_kroA100_particle_swarm,particle_swarm_run_015,particle_swarm,tsp,kroA100,1014,completed,evaluation_budget_exhausted,28016.0,27758.0,27758.0,5.080932799959555,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_kroA100_particle_swarm,particle_swarm_run_016,particle_swarm,tsp,kroA100,1015,completed,evaluation_budget_exhausted,28240.0,27535.0,27535.0,5.359820100013167,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_kroA100_particle_swarm,particle_swarm_run_017,particle_swarm,tsp,kroA100,1016,completed,evaluation_budget_exhausted,28240.0,27538.0,27538.0,5.265738799993414,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_kroA100_particle_swarm,particle_swarm_run_018,particle_swarm,tsp,kroA100,1017,completed,evaluation_budget_exhausted,26263.0,25446.0,25446.0,5.213650200050324,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_kroA100_particle_swarm,particle_swarm_run_019,particle_swarm,tsp,kroA100,1018,completed,evaluation_budget_exhausted,28244.0,25927.0,25927.0,5.290560900000855,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_kroA100_particle_swarm,particle_swarm_run_020,particle_swarm,tsp,kroA100,1019,completed,evaluation_budget_exhausted,26155.0,25601.0,25601.0,5.149625200021546,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_kroA100_particle_swarm,particle_swarm_run_021,particle_swarm,tsp,kroA100,1020,completed,evaluation_budget_exhausted,27342.0,26676.0,26676.0,5.264265700010583,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_kroA100_particle_swarm,particle_swarm_run_022,particle_swarm,tsp,kroA100,1021,completed,evaluation_budget_exhausted,28016.0,26550.0,26550.0,5.649025799997617,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_kroA100_particle_swarm,particle_swarm_run_023,particle_swarm,tsp,kroA100,1022,completed,evaluation_budget_exhausted,26233.0,24804.0,24804.0,5.3445697000133805,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
tsp_kroA100_particle_swarm,particle_swarm_run_024,particle_swarm,tsp,kroA100,1023,completed,evaluation_budget_exhausted,28109.0,25228.0,25228.0,5.108789499965496,100000,999,"{""cognitive_coefficient"": 1.8, ""inertia_weight"": 0.6, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""social_coefficient"": 1.8, ""swarm_size"": 100}",
