objective_evaluations,best_objective,current_objective,iteration
100,1437.0,1437.0,0
200,1437.0,1437.0,1
300,1437.0,1437.0,2
400,1342.0,1342.0,3
500,1342.0,1342.0,4
600,1337.0,1337.0,5
700,1337.0,1337.0,6
800,1337.0,1337.0,7
900,1311.0,1311.0,8
1000,1300.0,1300.0,9
1100,1182.0,1182.0,10
1200,1182.0,1182.0,11
1300,1182.0,1182.0,12
1400,1123.0,1123.0,13
1500,1123.0,1123.0,14
1600,1123.0,1123.0,15
1700,1123.0,1123.0,16
1800,1094.0,1094.0,17
1900,1094.0,1094.0,18
2000,1094.0,1094.0,19
2100,1094.0,1094.0,20
2200,1087.0,1087.0,21
2300,1087.0,1087.0,22
2400,1076.0,1076.0,23
2500,1036.0,1036.0,24
2600,1034.0,1034.0,25
2700,1034.0,1034.0,26
2800,1034.0,1034.0,27
2900,1034.0,1034.0,28
3000,1034.0,1034.0,29
3100,1022.0,1022.0,30
3200,1022.0,1022.0,31
3300,1022.0,1022.0,32
3400,1022.0,1022.0,33
3500,1011.0,1011.0,34
3600,1011.0,1011.0,35
3700,1011.0,1011.0,36
3800,1011.0,1011.0,37
3900,1011.0,1011.0,38
4000,1011.0,1011.0,39
4100,990.0,990.0,40
4200,990.0,990.0,41
4300,990.0,990.0,42
4400,970.0,970.0,43
4500,970.0,970.0,44
4600,970.0,970.0,45
4700,970.0,970.0,46
4800,967.0,967.0,47
4900,967.0,967.0,48
5000,967.0,967.0,49
5100,938.0,938.0,50
5200,931.0,931.0,51
5300,931.0,931.0,52
5400,931.0,931.0,53
5500,931.0,931.0,54
5600,915.0,915.0,55
5700,915.0,915.0,56
5800,909.0,909.0,57
5900,905.0,905.0,58
6000,893.0,893.0,59
6100,893.0,893.0,60
6200,887.0,887.0,61
6300,887.0,887.0,62
6400,887.0,887.0,63
6500,887.0,887.0,64
6600,887.0,887.0,65
6700,842.0,842.0,66
6800,842.0,842.0,67
6900,842.0,842.0,68
7000,827.0,827.0,69
7100,827.0,827.0,70
7200,827.0,827.0,71
7300,827.0,827.0,72
7400,827.0,827.0,73
7500,816.0,816.0,74
7600,816.0,816.0,75
7700,806.0,806.0,76
7800,793.0,793.0,77
7900,793.0,793.0,78
8000,793.0,793.0,79
8100,793.0,793.0,80
8200,793.0,793.0,81
8300,793.0,793.0,82
8400,793.0,793.0,83
8500,793.0,793.0,84
8600,793.0,793.0,85
8700,793.0,793.0,86
8800,793.0,793.0,87
8900,793.0,793.0,88
9000,793.0,793.0,89
9100,789.0,789.0,90
9200,789.0,789.0,91
9300,789.0,789.0,92
9400,789.0,789.0,93
9500,789.0,789.0,94
9600,789.0,789.0,95
9700,789.0,789.0,96
9800,781.0,781.0,97
9900,781.0,781.0,98
10000,768.0,768.0,99
10100,768.0,768.0,100
10200,768.0,768.0,101
10300,768.0,768.0,102
10400,768.0,768.0,103
10500,768.0,768.0,104
10600,768.0,768.0,105
10700,768.0,768.0,106
10800,768.0,768.0,107
10900,768.0,768.0,108
11000,768.0,768.0,109
11100,768.0,768.0,110
11200,768.0,768.0,111
11300,768.0,768.0,112
11400,768.0,768.0,113
11500,761.0,761.0,114
11600,761.0,761.0,115
11700,761.0,761.0,116
11800,761.0,761.0,117
11900,761.0,761.0,118
12000,761.0,761.0,119
12100,761.0,761.0,120
12200,761.0,761.0,121
