objective_evaluations,best_objective,current_objective,iteration
100,25095.0,25095.0,0
200,25095.0,25095.0,1
300,24700.0,24700.0,2
400,24391.0,24391.0,3
500,24391.0,24391.0,4
600,22777.0,22777.0,5
700,22777.0,22777.0,6
800,22777.0,22777.0,7
900,22777.0,22777.0,8
1000,22777.0,22777.0,9
1100,22458.0,22458.0,10
1200,22458.0,22458.0,11
1300,22458.0,22458.0,12
1400,22458.0,22458.0,13
1500,22458.0,22458.0,14
1600,22458.0,22458.0,15
1700,22458.0,22458.0,16
1800,22365.0,22365.0,17
1900,22295.0,22295.0,18
2000,21792.0,21792.0,19
2100,21792.0,21792.0,20
2200,21792.0,21792.0,21
2300,21792.0,21792.0,22
2400,20837.0,20837.0,23
2500,20430.0,20430.0,24
2600,20430.0,20430.0,25
2700,19541.0,19541.0,26
2800,19541.0,19541.0,27
2900,19541.0,19541.0,28
3000,19541.0,19541.0,29
3100,18566.0,18566.0,30
3200,18566.0,18566.0,31
3300,18566.0,18566.0,32
3400,18566.0,18566.0,33
3500,18566.0,18566.0,34
3600,18388.0,18388.0,35
3700,18388.0,18388.0,36
3800,18388.0,18388.0,37
3900,18388.0,18388.0,38
4000,18388.0,18388.0,39
4100,17869.0,17869.0,40
4200,17869.0,17869.0,41
4300,17869.0,17869.0,42
4400,17869.0,17869.0,43
4500,17555.0,17555.0,44
4600,17555.0,17555.0,45
4700,17164.0,17164.0,46
4800,17164.0,17164.0,47
4900,16960.0,16960.0,48
5000,16960.0,16960.0,49
5100,16960.0,16960.0,50
5200,16960.0,16960.0,51
5300,16884.0,16884.0,52
5400,16769.0,16769.0,53
5500,16769.0,16769.0,54
5600,16673.0,16673.0,55
5700,16673.0,16673.0,56
5800,16673.0,16673.0,57
5900,16673.0,16673.0,58
6000,16411.0,16411.0,59
6100,16411.0,16411.0,60
6200,16411.0,16411.0,61
6300,16411.0,16411.0,62
6400,16411.0,16411.0,63
6500,16411.0,16411.0,64
6600,16411.0,16411.0,65
6700,16411.0,16411.0,66
6800,16411.0,16411.0,67
6900,16411.0,16411.0,68
7000,16411.0,16411.0,69
7100,16411.0,16411.0,70
7200,16411.0,16411.0,71
7300,16411.0,16411.0,72
7400,16411.0,16411.0,73
7500,16411.0,16411.0,74
7600,16411.0,16411.0,75
7700,16411.0,16411.0,76
7800,16243.0,16243.0,77
7900,16243.0,16243.0,78
8000,16243.0,16243.0,79
8100,16243.0,16243.0,80
8200,16243.0,16243.0,81
8300,16243.0,16243.0,82
8400,16243.0,16243.0,83
8500,16243.0,16243.0,84
8600,16243.0,16243.0,85
8700,16243.0,16243.0,86
8800,16243.0,16243.0,87
8900,16243.0,16243.0,88
9000,16243.0,16243.0,89
9100,16243.0,16243.0,90
9200,16243.0,16243.0,91
9300,16243.0,16243.0,92
9400,16243.0,16243.0,93
9500,16243.0,16243.0,94
9600,16243.0,16243.0,95
9700,16243.0,16243.0,96
9800,16243.0,16243.0,97
9900,16243.0,16243.0,98
10000,16243.0,16243.0,99
10100,16243.0,16243.0,100
10200,16243.0,16243.0,101
10300,16243.0,16243.0,102
10400,16243.0,16243.0,103
10500,16243.0,16243.0,104
10600,16243.0,16243.0,105
10700,16243.0,16243.0,106
10800,16224.0,16224.0,107
10900,16168.0,16168.0,108
11000,16168.0,16168.0,109
11100,16168.0,16168.0,110
11200,16164.0,16164.0,111
11300,16164.0,16164.0,112
11400,16164.0,16164.0,113
11500,16164.0,16164.0,114
11600,16164.0,16164.0,115
11700,16164.0,16164.0,116
11800,16164.0,16164.0,117
11900,16164.0,16164.0,118
12000,16164.0,16164.0,119
12100,16164.0,16164.0,120
12200,16164.0,16164.0,121
12300,16164.0,16164.0,122
12400,16164.0,16164.0,123
12500,16164.0,16164.0,124
12600,16164.0,16164.0,125
12700,16164.0,16164.0,126
12800,16164.0,16164.0,127
12900,16164.0,16164.0,128
13000,16164.0,16164.0,129
13100,16164.0,16164.0,130
13200,16164.0,16164.0,131
13300,16164.0,16164.0,132
13400,16164.0,16164.0,133
13500,16164.0,16164.0,134
13600,16164.0,16164.0,135
13700,16164.0,16164.0,136
13800,16164.0,16164.0,137
13900,16164.0,16164.0,138
14000,16164.0,16164.0,139
14100,16164.0,16164.0,140
14200,16164.0,16164.0,141
14300,16164.0,16164.0,142
14400,16164.0,16164.0,143
14500,16164.0,16164.0,144
14600,16164.0,16164.0,145
14700,16164.0,16164.0,146
14800,16164.0,16164.0,147
14900,16164.0,16164.0,148
15000,16164.0,16164.0,149
15100,16164.0,16164.0,150
15200,16164.0,16164.0,151
15300,16164.0,16164.0,152
15400,16164.0,16164.0,153
15500,16164.0,16164.0,154
15600,16164.0,16164.0,155
15700,16164.0,16164.0,156
15800,16164.0,16164.0,157
15900,16164.0,16164.0,158
16000,16164.0,16164.0,159
16100,16164.0,16164.0,160
16200,16164.0,16164.0,161
16300,16164.0,16164.0,162
16400,16164.0,16164.0,163
16500,16164.0,16164.0,164
16600,16164.0,16164.0,165
16700,16164.0,16164.0,166
16800,16164.0,16164.0,167
16900,16164.0,16164.0,168
17000,16164.0,16164.0,169
17100,16164.0,16164.0,170
17200,16164.0,16164.0,171
17300,16164.0,16164.0,172
17400,16164.0,16164.0,173
17500,16164.0,16164.0,174
17600,16164.0,16164.0,175
17700,16164.0,16164.0,176
17800,16164.0,16164.0,177
17900,16164.0,16164.0,178
18000,16164.0,16164.0,179
18100,16164.0,16164.0,180
18200,16164.0,16164.0,181
18300,16164.0,16164.0,182
18400,16164.0,16164.0,183
18500,16164.0,16164.0,184
18600,16164.0,16164.0,185
18700,16164.0,16164.0,186
18800,16164.0,16164.0,187
18900,16164.0,16164.0,188
19000,16164.0,16164.0,189
19100,16164.0,16164.0,190
19200,16164.0,16164.0,191
19300,16164.0,16164.0,192
19400,16164.0,16164.0,193
19500,16164.0,16164.0,194
19600,16164.0,16164.0,195
19700,16164.0,16164.0,196
19800,16164.0,16164.0,197
19900,16164.0,16164.0,198
20000,16164.0,16164.0,199
20100,16164.0,16164.0,200
20200,16164.0,16164.0,201
20300,16164.0,16164.0,202
20400,16164.0,16164.0,203
20500,16164.0,16164.0,204
20600,16164.0,16164.0,205
20700,16164.0,16164.0,206
20800,16164.0,16164.0,207
20900,16164.0,16164.0,208
21000,16164.0,16164.0,209
